,correct after perturbations %,audio name,normalized,origConf,avgPertConf,binEdges,mse,mse avg,r2,r2 avg,coefs
0,"[0.5217391304347826, 0.5337331334332833, 0.5297351324337831, 0.5337331334332833, 0.5227386306846576]",audio/speech_commands/cat/9f869f70_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.502, 0.5107, 0.51, 0.515, 0.5015]","[[   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559]]","[0.09141658910747653, 0.09058899577245545, 0.08754662297838722, 0.08961118966322765, 0.08912513928244901]",0.08965770736079919,"[0.59117400094169, 0.5895309267900359, 0.6044847793441843, 0.5893349367756555, 0.5898097125348128]",0.5928668712772758,"[[ 0.14343592,  0.23795002,  0.10624869,  0.20620071,  0.19909005,
        0.08291936,  0.01864243,  0.11536388,  0.20845895,  0.20581325,
        0.03482862,  0.49550114,  0.39115187,  0.24344393,  0.2862878 ,
        0.49171545,  0.17600331,  0.10061352,  0.03167954,  0.07259329,
       -0.00745101,  0.02042975,  0.04561376,  0.08044635,  0.03525779], [ 0.11158187,  0.24730462,  0.12630231,  0.20481531,  0.17863963,
        0.09250013, -0.02811258,  0.0913038 ,  0.22446952,  0.21936907,
        0.00986654,  0.47509765,  0.39170278,  0.20574486,  0.23925205,
        0.54113463,  0.2390432 ,  0.08186311,  0.11136633,  0.03266663,
        0.02768774,  0.05766792,  0.04887557,  0.07678435, -0.03742214], [ 0.20076617,  0.2585744 ,  0.09647357,  0.19265038,  0.14912283,
        0.08858305, -0.00875396,  0.13072633,  0.26987947,  0.23084533,
       -0.00065068,  0.52129688,  0.3994579 ,  0.2360005 ,  0.27596724,
        0.49343059,  0.19790643,  0.07238722,  0.05240611,  0.01391844,
       -0.05722684,  0.06518285,  0.04146152,  0.02781101, -0.0189105 ], [ 0.20637543,  0.24494558,  0.10776526,  0.2407038 ,  0.25280073,
        0.10062713,  0.00933835,  0.06020146,  0.25778883,  0.23398192,
       -0.00089107,  0.49712665,  0.38332068,  0.18761046,  0.25452816,
        0.51162773,  0.1687592 ,  0.05757354,  0.12164282,  0.03807032,
       -0.00522895,  0.07115405,  0.01820061,  0.07605126,  0.02295359], [ 0.17933666,  0.24659034,  0.10863387,  0.21057566,  0.18743323,
        0.10247339,  0.04943907,  0.17013857,  0.27361186,  0.26858398,
        0.02382877,  0.49465994,  0.38233772,  0.24102421,  0.28665124,
        0.57710691,  0.23604534,  0.09232322,  0.04363568,  0.03284307,
       -0.01998236,  0.05993194,  0.04621949,  0.04236588,  0.00166612]]"
1,"[0.44877561219390305, 0.44177911044477763, 0.42128935532233885, 0.4447776111944028, 0.4357821089455272]",audio/speech_commands/cat/f618568f_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.422, 0.4172, 0.3962, 0.4194, 0.4128]","[[   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559]]","[0.08244719756452216, 0.07866204381136918, 0.07808513932754865, 0.07477036796353408, 0.07730780244461934]",0.07825451022231868,"[0.617725191627915, 0.6363137471622977, 0.6376411248106617, 0.6590888441563092, 0.6453599269451906]",0.639225766940475,"[[0.1450105 , 0.28898878, 0.06053686, 0.37646759, 0.16488899,
       0.12962598, 0.08400314, 0.15814735, 0.35158623, 0.11831394,
       0.09251858, 0.17787318, 0.1693622 , 0.32518637, 0.36096648,
       0.28080637, 0.2176773 , 0.22951975, 0.12463802, 0.21968445,
       0.20311224, 0.19409059, 0.09892486, 0.1779784 , 0.07751099], [0.16012525, 0.31040182, 0.076796  , 0.3364996 , 0.17895141,
       0.11404533, 0.11504611, 0.18468705, 0.3762765 , 0.12914185,
       0.10421336, 0.18495458, 0.18424406, 0.3286738 , 0.35559242,
       0.30104255, 0.20753049, 0.26101283, 0.15632057, 0.20496983,
       0.17858478, 0.15751579, 0.10069093, 0.21038225, 0.06501076], [0.11956173, 0.29920168, 0.1079265 , 0.36698108, 0.19966096,
       0.13209688, 0.07601842, 0.19358191, 0.38254914, 0.17070194,
       0.1095719 , 0.230101  , 0.20326503, 0.3028516 , 0.36280616,
       0.22625755, 0.22654653, 0.24541511, 0.09443987, 0.22462636,
       0.15132293, 0.15743627, 0.09674767, 0.16442892, 0.08539323], [0.13864236, 0.28792974, 0.08943258, 0.35404973, 0.17883167,
       0.12997227, 0.10990886, 0.18904774, 0.41599988, 0.15483219,
       0.09266158, 0.1974591 , 0.21511144, 0.32030089, 0.38591942,
       0.25970249, 0.2341494 , 0.25679617, 0.12120851, 0.22845401,
       0.14936093, 0.17550962, 0.11424793, 0.20147322, 0.10929689], [0.1257641 , 0.28864421, 0.06432194, 0.34913409, 0.20563396,
       0.14479505, 0.09687931, 0.15231911, 0.38923305, 0.14310226,
       0.08762154, 0.18608885, 0.18111211, 0.31978996, 0.33614791,
       0.2719155 , 0.24210458, 0.25359123, 0.130352  , 0.25957204,
       0.17652625, 0.17655117, 0.14723426, 0.17643772, 0.0872143 ]]"
2,"[0.8290854572713643, 0.8315842078960519, 0.8235882058970515, 0.824087956021989, 0.8170914542728636]",audio/speech_commands/cat/e9a76b2f_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8154, 0.8174, 0.811, 0.8105, 0.8066]","[[   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559]]","[0.1086738128668099, 0.10633670574437508, 0.10635175967506207, 0.10924058262027413, 0.10305802503252569]",0.10673217718780936,"[0.18663656351112778, 0.19046943069325695, 0.2134822410994951, 0.16862421261323368, 0.2283333659472081]",0.19750916277286432,"[[ 0.15151342,  0.07565028, -0.02545681,  0.04704737,  0.04952546,
        0.19926953,  0.10123664, -0.00315998,  0.0306378 ,  0.07174826,
        0.11997017,  0.1194432 ,  0.02918139,  0.03954627, -0.0276212 ,
        0.08730153, -0.03744729, -0.04737785, -0.00770588,  0.04842696,
        0.07316327,  0.18380328,  0.11431022,  0.12389374,  0.0663903 ], [ 0.16676571,  0.09499462,  0.03969614,  0.03355495,  0.07530776,
        0.18378505,  0.09832943,  0.01991992,  0.01990463,  0.0772112 ,
        0.13712172,  0.09715794,  0.02108974,  0.04382432, -0.00199642,
        0.05188953, -0.02917794, -0.04509765, -0.03000507,  0.0540747 ,
        0.05953136,  0.22404261,  0.12285535,  0.05849415,  0.04735907], [ 0.16106397,  0.06290761,  0.02615816, -0.01235744,  0.04839161,
        0.19609381,  0.09432034, -0.02417863,  0.00775614,  0.06910818,
        0.10304   ,  0.14669562,  0.02221476,  0.03564324, -0.03736164,
        0.05033107, -0.01667639, -0.04583038,  0.01944067,  0.11447482,
        0.07915961,  0.2229761 ,  0.19754796,  0.05439042,  0.06600799], [ 0.13694103,  0.14326356, -0.00618643,  0.04189468,  0.05594757,
        0.18779599,  0.04520045,  0.0136154 ,  0.02574427,  0.05104219,
        0.1210183 ,  0.09087782,  0.03773151,  0.02186162, -0.02351749,
        0.06185792, -0.01277925, -0.00471986, -0.06734716,  0.06588642,
        0.07191563,  0.15979274,  0.16377099,  0.0614723 ,  0.03243282], [ 0.13990955,  0.11277951, -0.0022465 ,  0.05447589,  0.00908878,
        0.20702923,  0.09769874, -0.01763432,  0.03362689,  0.04746931,
        0.10779241,  0.12877765,  0.05298162,  0.00912079, -0.03625564,
        0.07448332, -0.06239796, -0.04622664, -0.054504  ,  0.08156275,
        0.11401704,  0.26771712,  0.13759506,  0.09203317,  0.0853268 ]]"
3,"[0.3823088455772114, 0.384807596201899, 0.375312343828086, 0.38580709645177413, 0.3918040979510245]",audio/speech_commands/cat/ba676390_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[0.9844, 0.9844, 0.9844, 0.9844, 0.9844]","[0.3643, 0.3728, 0.3606, 0.3706, 0.3767]","[[   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559]]","[0.08300151020522135, 0.08520591103583719, 0.0880147629030212, 0.08727999632055251, 0.08381738138404143]",0.08546391236973473,"[0.6051060857360426, 0.6036607950079571, 0.5854662407226017, 0.5981274018639839, 0.6208478587967591]",0.6026416764254688,"[[0.13845464, 0.09509952, 0.16046413, 0.36360035, 0.19410631,
       0.13335336, 0.1219605 , 0.2241311 , 0.28762827, 0.22215101,
       0.24583326, 0.20863968, 0.13195544, 0.13995661, 0.22189783,
       0.40154442, 0.21868896, 0.20969861, 0.17836171, 0.20796091,
       0.18557361, 0.16897202, 0.14116584, 0.08367947, 0.04043174], [0.19022087, 0.13198736, 0.14268495, 0.37870328, 0.2055704 ,
       0.13627371, 0.13578107, 0.26866946, 0.27952473, 0.22062744,
       0.27353683, 0.14265319, 0.14670723, 0.21197165, 0.19664315,
       0.42466382, 0.2043522 , 0.18236221, 0.1950496 , 0.20605135,
       0.11324173, 0.16903721, 0.12902611, 0.07807884, 0.05986053], [0.14685239, 0.09451682, 0.15814608, 0.3783687 , 0.23282091,
       0.10526968, 0.14534959, 0.24890198, 0.30200025, 0.22072268,
       0.22154078, 0.17132392, 0.10898543, 0.15729193, 0.18922071,
       0.39632074, 0.19780643, 0.19353262, 0.18281048, 0.2027536 ,
       0.12476164, 0.16242867, 0.13259116, 0.09032346, 0.06413419], [0.15151531, 0.0867059 , 0.17451855, 0.37935668, 0.19448498,
       0.08561093, 0.13103341, 0.25688878, 0.28107108, 0.26332745,
       0.24135257, 0.14544085, 0.10515809, 0.18011302, 0.19788145,
       0.47741387, 0.2235589 , 0.2193957 , 0.19970254, 0.19415804,
       0.131032  , 0.130617  , 0.14690537, 0.12990959, 0.03564591], [0.17811189, 0.11623141, 0.13307594, 0.40391686, 0.1975102 ,
       0.10174267, 0.12674753, 0.24109407, 0.31452413, 0.24087671,
       0.24152896, 0.16925257, 0.1325322 , 0.15758843, 0.21598673,
       0.43892305, 0.21090097, 0.19800831, 0.18771036, 0.17694862,
       0.10250181, 0.19524757, 0.12895962, 0.06795843, 0.04886325]]"
4,"[0.5292353823088456, 0.5317341329335332, 0.5102448775612194, 0.5227386306846576, 0.5432283858070964]",audio/speech_commands/cat/db7c95b0_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[0.969, 0.969, 0.969, 0.969, 0.969]","[0.4575, 0.4597, 0.4395, 0.4497, 0.4663]","[[   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559], [   0,   44,   91,  141,  195,  252,  312,  376,  445,  517,  595,
        677,  764,  857,  956, 1061, 1173, 1292, 1418, 1553, 1696, 1848,
       2009, 2181, 2364, 2559]]","[0.06704674342368398, 0.06623411374708058, 0.06807064587134945, 0.06603110944846988, 0.06603706510531317]",0.06668393551917941,"[0.6091422058124618, 0.6253508875612896, 0.6100736124383874, 0.6221008454697222, 0.6223626213730202]",0.6178060345309764,"[[0.06278856, 0.23687283, 0.32167162, 0.2300197 , 0.16781443,
       0.06182913, 0.15360003, 0.05429399, 0.09034508, 0.15468425,
       0.03885503, 0.02801499, 0.27735789, 0.26334882, 0.30282208,
       0.3792331 , 0.27899049, 0.21787491, 0.11586999, 0.04844996,
       0.16367709, 0.14793138, 0.1123117 , 0.12063071, 0.03189321], [ 0.09204393,  0.22284906,  0.31345254,  0.21883095,  0.15244318,
        0.0168892 ,  0.13681878,  0.05099163,  0.1168812 ,  0.18498597,
        0.03885757,  0.05205676,  0.28901789,  0.24655562,  0.26780373,
        0.39605913,  0.29125122,  0.21424262,  0.12732949,  0.05266958,
        0.15638584,  0.11769866,  0.13438663,  0.14430593, -0.00826211], [0.10201108, 0.2267508 , 0.32319552, 0.23087909, 0.16503492,
       0.06161524, 0.15883949, 0.06617966, 0.11092567, 0.16964032,
       0.0306982 , 0.05168751, 0.29823988, 0.25898118, 0.2628856 ,
       0.40406999, 0.26736672, 0.22551969, 0.11823754, 0.05748795,
       0.1760954 , 0.09198915, 0.11061432, 0.11371469, 0.01162375], [0.07926966, 0.23549726, 0.31438721, 0.20417796, 0.14485696,
       0.05903834, 0.15987795, 0.04724742, 0.13185342, 0.15915338,
       0.10025968, 0.06902947, 0.28504865, 0.26540064, 0.24961936,
       0.45778093, 0.24635525, 0.23510159, 0.11203841, 0.06130862,
       0.15064688, 0.1009493 , 0.14093182, 0.11920477, 0.0324219 ], [ 0.08035737,  0.23073279,  0.31001771,  0.25415152,  0.17355237,
        0.07755763,  0.17196114,  0.08940099,  0.12567197,  0.12962345,
        0.07405067,  0.05644288,  0.2464691 ,  0.25240809,  0.27099774,
        0.40467504,  0.29433752,  0.22425238,  0.13904546,  0.02566929,
        0.14859194,  0.12379153,  0.12332179,  0.11337115, -0.0034379 ]]"
