,mse,mse avg,r2,r2 avg,coefs
0,"[0.068688267314165, 0.07167753369940681, 0.0742954064066613, 0.0748309942384409, 0.07159920086961759, 0.07190542183526408, 0.06687962096751982, 0.07051581673688796, 0.07189287257390986, 0.06761468737400564]",0.07098998220158789,"[0.6408646216835474, 0.6291486889521399, 0.6082981157925567, 0.6031736778607302, 0.6098061099401015, 0.6203947556767259, 0.6464420442000025, 0.6231159244342875, 0.620013573453432, 0.6414073883303553]",0.6242664900323879,"[[-2.50495110e-27,  3.36094357e-01,  3.67380219e-01,  1.02281274e-01,
        3.59859331e-01,  4.54756845e-01,  2.48017762e-01,  5.48896686e-01,
        2.40947160e-01,  2.51690686e-01,  5.63653358e-01,  2.06624102e-01,
        6.28392229e-02,  1.79025106e-02,  3.12308373e-02,  3.43146826e-02,
       -4.40996454e-02, -6.20545083e-02, -5.64036439e-02, -1.44104832e-03,
        1.28355824e-02, -3.06684641e-02, -3.55561752e-02,  8.77117901e-04,
       -2.50495110e-27], [-3.07471149e-27,  3.63566818e-01,  4.36142296e-01,  1.74261250e-01,
        3.73309593e-01,  4.36874096e-01,  2.52231422e-01,  5.63338173e-01,
        1.90826495e-01,  2.59582571e-01,  5.31886951e-01,  1.93128779e-01,
        8.45427119e-02,  4.02637042e-02,  2.19153124e-02,  5.73473374e-02,
       -1.92178895e-02, -6.76489223e-02, -4.74770219e-02,  3.66761596e-02,
        3.40199721e-02, -1.84825197e-02, -8.93230189e-03, -7.30710030e-03,
       -3.07471149e-27], [-4.02509024e-27,  3.32741596e-01,  3.63058739e-01,  1.90762737e-01,
        3.69561484e-01,  3.99772076e-01,  2.21229602e-01,  5.67742366e-01,
        2.45080536e-01,  2.49305958e-01,  5.37375243e-01,  2.13699172e-01,
        8.23656193e-02,  5.03410526e-02,  6.20188722e-02,  4.33238826e-02,
       -2.96094697e-02, -8.22913689e-02, -9.02350543e-02,  1.30703734e-02,
        8.17192025e-03, -4.41989822e-02, -2.67456797e-02, -1.14858833e-02,
       -4.02509024e-27], [-5.69223069e-27,  3.37012034e-01,  3.51635508e-01,  1.57202814e-01,
        3.95340769e-01,  4.30271154e-01,  2.79196324e-01,  5.84782583e-01,
        1.96976370e-01,  2.34700886e-01,  5.21606045e-01,  1.65680478e-01,
        7.69451562e-02,  3.57341247e-02,  1.03936366e-02, -9.92697940e-03,
       -2.59521168e-02, -6.59945324e-02, -4.92814131e-02, -2.03744895e-02,
       -1.79034911e-02, -5.66951121e-02, -3.31107768e-02,  1.60266000e-02,
       -5.69223069e-27], [-1.86759412e-27,  3.07195519e-01,  4.18532431e-01,  1.86353345e-01,
        3.53461762e-01,  4.32296305e-01,  2.63886065e-01,  5.84896786e-01,
        2.42081535e-01,  2.33657651e-01,  4.97780127e-01,  1.80736278e-01,
        6.17147923e-02,  5.04998195e-02,  1.19908687e-02,  2.69471609e-02,
       -7.04245659e-03, -6.74653714e-02, -7.71198837e-02,  8.37215543e-03,
        2.08624970e-02, -5.59042845e-02, -3.95466695e-02,  7.08203674e-03,
       -1.86759412e-27], [-8.28854294e-27,  3.12798737e-01,  4.34056530e-01,  1.60416420e-01,
        3.99411358e-01,  4.17802003e-01,  2.33836988e-01,  5.80606489e-01,
        2.06765632e-01,  2.32397812e-01,  5.23083536e-01,  2.35514695e-01,
        7.67947565e-02,  4.41611061e-02,  3.82755354e-02,  1.67345616e-02,
        5.83866113e-04, -5.53786547e-02, -8.00448048e-02,  1.76929876e-02,
       -8.69882844e-03, -1.54041523e-03, -3.07671877e-02, -1.19190119e-02,
       -8.28854294e-27], [-4.48516191e-27,  3.44956554e-01,  4.04289410e-01,  1.50139692e-01,
        3.73053447e-01,  4.36974060e-01,  2.53420112e-01,  5.50044448e-01,
        1.87956510e-01,  2.58106633e-01,  5.06250402e-01,  1.88758719e-01,
        4.86843347e-02,  4.25538890e-02,  4.20411930e-02,  3.33084610e-02,
       -4.73411658e-03, -7.87235060e-02, -5.27367843e-02, -3.80496392e-02,
        8.45079101e-03, -6.48016261e-03, -2.36962722e-02, -2.56330160e-02,
       -4.48516191e-27], [-3.67431271e-28,  3.10984998e-01,  3.81275903e-01,  1.41152161e-01,
        3.63462024e-01,  4.31504833e-01,  2.64171806e-01,  5.57083087e-01,
        2.28186442e-01,  2.70962190e-01,  5.38652756e-01,  1.89187781e-01,
        5.88282569e-02,  5.17811338e-02,  5.57947237e-02,  4.83988883e-02,
       -2.11723521e-02, -2.13297917e-02, -5.75095371e-02, -1.30660577e-03,
       -1.16087482e-03, -4.52731107e-02,  8.60683500e-04, -3.04881854e-02,
       -3.67431271e-28], [-2.75761533e-28,  2.87179332e-01,  4.19366261e-01,  1.89343571e-01,
        4.02473499e-01,  4.24057827e-01,  2.82869763e-01,  5.87179014e-01,
        1.75522944e-01,  2.34828429e-01,  5.13063291e-01,  1.86811373e-01,
        9.06317255e-02,  5.18895650e-02,  4.24364518e-02, -2.30203178e-03,
       -2.02136523e-02, -5.90287327e-02, -3.82661977e-02,  1.37455020e-02,
       -4.06770992e-02, -2.58282936e-02, -1.16312884e-02, -1.14737477e-02,
       -2.75761533e-28], [-1.24546925e-26,  2.45500065e-01,  3.98787671e-01,  1.46902800e-01,
        3.57942290e-01,  4.70088742e-01,  2.41620467e-01,  5.95098423e-01,
        2.16209342e-01,  2.47906046e-01,  5.61418517e-01,  2.11312604e-01,
        7.15744250e-02,  1.40686212e-02,  3.46588757e-02,  8.02924933e-03,
       -4.39918935e-02, -5.83712595e-02, -9.20021528e-02, -3.22273311e-03,
       -2.49351705e-02, -4.21822934e-02, -3.20458152e-02,  1.00223923e-03,
       -1.24546925e-26]]"
1,"[0.07581142642174406, 0.07736601510435344, 0.07617766614654924, 0.07196276339576506, 0.07516453397062618, 0.07378347196218005, 0.07763981174767577, 0.07505739652101576, 0.07345918152379641, 0.07390657813996378]",0.07503288449336697,"[0.6760878231928297, 0.6705797093357773, 0.6747020022388004, 0.6937621717787559, 0.6811511804737586, 0.6819907090209917, 0.6701898496001527, 0.6804762564546659, 0.6876167669389962, 0.6856974245842555]",0.6802253893618984,"[[-5.48286504e-27,  5.92689195e-01,  4.43566069e-01,  4.01171119e-01,
        4.35171594e-01,  2.83107949e-01,  3.21064804e-01,  2.59857929e-01,
        3.09680878e-01,  2.41874785e-01,  3.95409412e-01,  2.19538657e-01,
        1.70780149e-01,  1.94663200e-01,  6.98055061e-02,  1.18998579e-01,
        1.27969108e-01,  9.61099500e-02,  1.26236703e-02,  5.18569334e-02,
        6.85221348e-02,  1.06755442e-01,  5.85022787e-02,  1.96036934e-02,
       -5.48286504e-27], [-2.73790011e-26,  6.01712507e-01,  4.19246162e-01,  4.18043637e-01,
        4.11265402e-01,  2.59125866e-01,  3.18916212e-01,  1.93211756e-01,
        3.35298377e-01,  2.67803770e-01,  3.89951576e-01,  2.29754038e-01,
        1.43382105e-01,  1.86259040e-01,  6.34190116e-02,  1.47139584e-01,
        1.33111021e-01,  9.54644762e-02,  4.83179922e-02,  6.88439849e-02,
        2.89671327e-02,  1.04099822e-01,  7.44857012e-02,  4.12329621e-02,
       -2.73790011e-26], [-4.79718207e-27,  6.07396947e-01,  4.40294895e-01,  4.12637338e-01,
        4.33984980e-01,  2.50221133e-01,  3.20310630e-01,  2.60701965e-01,
        3.39133486e-01,  2.44576228e-01,  3.73724142e-01,  2.06140322e-01,
        1.37681988e-01,  1.80871554e-01,  4.62155718e-02,  1.01436632e-01,
        1.70745004e-01,  6.53884451e-02, -6.30035681e-03,  5.14319049e-02,
        3.99467600e-02,  8.08686703e-02,  6.32827154e-02,  1.00862765e-01,
       -4.79718207e-27], [8.76406647e-28, 5.57739077e-01, 4.04564220e-01, 4.08278605e-01,
       4.28198283e-01, 2.68400670e-01, 2.91395733e-01, 2.35386415e-01,
       3.37679551e-01, 3.19895873e-01, 4.08608389e-01, 2.63659196e-01,
       1.75185850e-01, 2.16615682e-01, 1.13804269e-01, 1.00692308e-01,
       1.67455809e-01, 1.02116970e-01, 5.43735632e-02, 7.34379536e-02,
       8.28572078e-02, 1.30216730e-01, 7.95553535e-02, 9.32216953e-02,
       8.76406647e-28], [-1.13001527e-27,  6.00147697e-01,  4.07949666e-01,  3.67616185e-01,
        4.18259110e-01,  2.48323319e-01,  3.26859164e-01,  2.46321840e-01,
        3.62711752e-01,  3.07610058e-01,  3.87969548e-01,  2.18388660e-01,
        1.72976945e-01,  2.07131329e-01,  6.23878095e-02,  1.56446418e-01,
        1.55901888e-01,  8.17789954e-02,  4.79409454e-02,  5.53494375e-02,
        9.23098221e-02,  1.00883920e-01,  5.54780172e-02,  6.73817136e-02,
       -1.13001527e-27], [-1.24611334e-26,  5.42455200e-01,  4.11745238e-01,  3.50969305e-01,
        4.56439435e-01,  2.76434257e-01,  3.34047577e-01,  2.50920520e-01,
        3.32416250e-01,  2.88818620e-01,  4.12296543e-01,  2.34351826e-01,
        1.78312731e-01,  1.74384527e-01,  8.85137038e-02,  1.21172994e-01,
        1.68159767e-01,  1.03358569e-01,  4.40816695e-02,  6.61783598e-02,
        5.49446827e-02,  1.46613318e-01,  5.99609401e-02,  6.31739648e-02,
       -1.24611334e-26], [0.        , 0.58204119, 0.38652248, 0.39761226, 0.42771413,
       0.27622247, 0.29447977, 0.25135029, 0.3393686 , 0.25907231,
       0.41292354, 0.26543365, 0.146142  , 0.18238945, 0.1021868 ,
       0.13549045, 0.15522044, 0.08745538, 0.03525884, 0.06013623,
       0.06966703, 0.13227443, 0.11352266, 0.05793589, 0.        ], [1.49770413e-29, 6.35016119e-01, 4.13058167e-01, 3.81108720e-01,
       4.45049384e-01, 2.29982968e-01, 3.08905476e-01, 2.31031627e-01,
       3.42575369e-01, 3.02157915e-01, 4.01989718e-01, 2.31393687e-01,
       1.49405846e-01, 1.65748887e-01, 8.43026801e-02, 9.84792490e-02,
       1.44321292e-01, 7.70163520e-02, 4.09365303e-02, 6.77375846e-02,
       3.63368019e-02, 1.15716729e-01, 5.97509355e-02, 6.26652971e-02,
       1.49770413e-29], [-1.94252581e-26,  5.96448569e-01,  4.26047649e-01,  4.32310247e-01,
        4.61938776e-01,  2.58861272e-01,  3.18295129e-01,  2.35292111e-01,
        3.40712646e-01,  2.93634505e-01,  3.73870361e-01,  1.96702818e-01,
        1.44592167e-01,  1.64673169e-01,  7.36403358e-02,  1.05930966e-01,
        1.34110661e-01,  6.29321722e-02,  3.77641758e-02,  4.59178632e-02,
        9.00598999e-02,  1.30737253e-01,  4.80206119e-02,  9.23132679e-02,
       -1.94252581e-26], [-6.92517812e-28,  5.65023366e-01,  4.22546769e-01,  4.11008324e-01,
        4.44011148e-01,  2.62113567e-01,  3.08310585e-01,  2.26380444e-01,
        3.40604666e-01,  3.08837876e-01,  4.14477850e-01,  2.43492898e-01,
        1.65065728e-01,  2.03950378e-01,  8.26592441e-02,  1.43123322e-01,
        1.67551900e-01,  7.92671567e-02,  3.90858921e-02,  6.19073515e-02,
        7.53648957e-02,  8.31489485e-02,  7.64341335e-02,  6.79190699e-02,
       -6.92517812e-28]]"
2,"[0.09588745298057263, 0.0860000893090249, 0.08589957419082839, 0.08118877569176464, 0.08747054252073702, 0.08788723628195122, 0.0872892497509691, 0.08776360473060571, 0.08232430373551478, 0.09513134060046487]",0.08768421697924332,"[0.302952052000071, 0.30353395130467975, 0.3135993682812158, 0.3456622821880362, 0.31555681644339306, 0.31398990063647036, 0.3315230166657728, 0.2603851829307746, 0.3155747797491433, 0.29545404671803166]",0.3098231396917589,"[[-2.98329747e-27,  2.92122122e-02,  4.88805520e-01, -6.75248946e-02,
        8.83083639e-02,  4.35688969e-02,  1.21260830e-01,  1.17305394e-01,
       -9.67513565e-03, -4.55942146e-02,  1.31203657e-01, -8.34221206e-02,
       -3.05292910e-02, -1.73188217e-02,  1.07792273e-01,  7.83518117e-02,
        8.01092389e-02,  3.51393520e-02,  8.65038218e-02,  1.05335710e-01,
        6.11752810e-02,  4.80828177e-02,  1.42584614e-02, -3.32275586e-03,
       -2.98329747e-27], [ 0.        ,  0.00718192,  0.51193665, -0.05512564,  0.06315852,
        0.03249249,  0.03619332,  0.02376885, -0.03137654, -0.03136483,
        0.15812572, -0.03420639, -0.01503885, -0.01819374,  0.06325484,
        0.07021764,  0.05364618,  0.05424355,  0.11679328,  0.12860351,
        0.05283796,  0.02906921, -0.01669191, -0.02491027,  0.        ], [-1.08201806e-27,  3.72350972e-02,  5.19128970e-01, -1.72420106e-02,
        9.57248051e-02,  6.62506604e-02,  8.06110786e-02,  8.18217860e-02,
       -1.33825743e-02,  1.62576240e-02,  1.32051469e-01, -7.82519226e-02,
       -2.11091801e-02, -3.04363555e-02,  5.24143688e-02,  3.09266646e-02,
        6.19444114e-02,  2.86614784e-02,  1.12788733e-01,  7.89743350e-02,
        3.79270506e-02,  2.45097831e-02, -1.69980961e-02, -3.80139458e-02,
       -1.08201806e-27], [-1.74331581e-27,  7.20260243e-03,  5.25640538e-01, -2.85832721e-02,
        8.42425223e-03,  5.93093285e-02,  3.86392331e-02,  6.94084550e-02,
       -1.87810195e-02,  2.63845797e-02,  1.30329299e-01, -6.02843092e-02,
       -5.44088133e-03, -2.64781059e-02,  7.11169610e-02,  5.18990255e-02,
        1.30240890e-01,  1.20769952e-01,  1.23441230e-01,  1.41734830e-01,
        4.53868016e-02,  4.18962906e-02,  3.50900007e-02,  3.84878765e-03,
       -1.74331581e-27], [-3.08080366e-28,  3.34272333e-02,  4.94649399e-01, -1.82741483e-02,
        8.55246105e-02,  4.98602221e-02,  5.60477565e-02,  5.95340705e-02,
       -2.25902402e-02, -8.93842248e-03,  1.50486218e-01, -6.33239027e-02,
       -3.99691892e-02, -2.00265297e-02,  1.02358395e-01,  6.12565143e-02,
        1.05134644e-01,  4.99240437e-02,  1.39693622e-01,  1.82117848e-01,
        5.16431880e-02,  5.22621215e-03,  7.62503665e-02, -1.49101959e-02,
       -3.08080366e-28], [-6.67277842e-27,  1.95077582e-02,  4.97487969e-01, -2.90105483e-02,
        8.20073507e-02,  5.79840476e-02,  8.98028918e-02,  8.48287123e-02,
       -1.94161092e-02, -1.79566826e-02,  2.03492117e-01, -6.28047457e-02,
        2.59186746e-02,  4.56634936e-03,  6.26954171e-02,  3.51369422e-02,
        6.76323492e-02,  6.86270249e-02,  1.29707444e-01,  1.11259303e-01,
        8.75944797e-02,  2.15307772e-02,  3.29605652e-02, -7.84007635e-03,
       -6.67277842e-27], [-1.25065075e-26,  4.99414868e-02,  5.24722344e-01, -2.40498618e-02,
        1.17428876e-01,  4.10251037e-02,  1.14647166e-01,  9.98568889e-02,
        2.71018327e-02, -8.00712583e-03,  1.63553326e-01, -7.34840322e-02,
       -2.46801685e-02, -1.43291613e-02,  3.55553183e-02,  9.50635634e-02,
        8.55014117e-02,  7.23848347e-02,  9.25381660e-02,  8.05942955e-02,
        3.46602144e-02,  2.77919676e-02,  1.68112326e-02,  4.57216630e-02,
       -1.25065075e-26], [-2.15838078e-28,  4.35144048e-02,  4.46071879e-01, -2.00914844e-02,
        6.78504963e-02,  9.26165799e-02,  7.67385873e-02,  1.36234113e-01,
       -2.44073295e-02, -1.47726046e-02,  1.40171647e-01, -4.90338842e-02,
        1.17618122e-02, -1.56621091e-02,  7.33347756e-02,  4.58446098e-02,
        5.97289707e-02,  9.28160591e-02,  1.04941274e-01,  1.15078536e-01,
        5.06751431e-02,  1.74904340e-02,  3.08242092e-02, -2.35161304e-03,
       -2.15838078e-28], [ 2.66846185e-28,  2.05058831e-02,  5.00333257e-01, -2.52963945e-02,
        1.01731838e-01,  5.83465870e-02,  8.53707122e-02,  6.60908792e-02,
       -1.65649730e-03, -1.00642121e-02,  1.15232375e-01, -4.95848058e-02,
       -3.21409188e-02,  9.41952688e-04,  3.42557386e-02,  5.89257875e-02,
        5.03351277e-02,  1.61044051e-02,  1.57191005e-01,  1.48459017e-01,
        4.74851820e-02,  1.40692885e-02, -1.42368185e-02, -3.97749197e-03,
        2.66846185e-28], [-1.03935066e-26,  2.21364614e-02,  4.77602482e-01, -4.39585337e-02,
        6.88429818e-02,  2.39305491e-02,  7.34021321e-02,  1.05249851e-01,
       -5.25860601e-02, -2.89116987e-02,  1.59595310e-01, -5.34933900e-02,
       -3.27724336e-02, -3.07784348e-02,  6.22513498e-02,  8.92698355e-02,
        9.79309812e-02,  7.37642602e-02,  1.21057119e-01,  1.18666761e-01,
        6.04692360e-02,  1.97076616e-02,  3.30120614e-03, -1.87946605e-02,
       -1.03935066e-26]]"
3,"[0.07611566921057387, 0.07444803707793439, 0.07685000418637511, 0.08032819354093357, 0.07930612120384356, 0.07601263767006537, 0.07976814001392271, 0.07548316860831476, 0.07608631205389932, 0.07557301883903068]",0.07699713024048933,"[0.6648940034855291, 0.6690977355889222, 0.6636043042184061, 0.6467846506671482, 0.6528196697459455, 0.6640083723066283, 0.6496411778154036, 0.6692584938897947, 0.6657447780993353, 0.6680016857131328]",0.6613854871530245,"[[6.38842352e-28, 5.86291912e-01, 3.94706283e-01, 3.64935367e-01,
       2.97349443e-01, 5.46221838e-01, 5.09036200e-01, 2.49127869e-01,
       2.04725948e-01, 3.07463473e-01, 2.50835907e-01, 2.13052793e-01,
       2.27246322e-01, 2.02436788e-01, 1.90413363e-01, 1.30833339e-01,
       1.49668638e-01, 1.29982719e-01, 7.07858922e-02, 6.51328006e-02,
       1.24306212e-01, 8.30615100e-02, 7.77434536e-02, 5.45412779e-02,
       6.38842352e-28], [-1.16600590e-27,  5.92625237e-01,  3.84474172e-01,  3.41763719e-01,
        2.92614001e-01,  6.07227845e-01,  5.53679347e-01,  2.85131594e-01,
        1.92772397e-01,  2.88348546e-01,  2.56232550e-01,  2.19095740e-01,
        2.00588848e-01,  1.78177185e-01,  1.67656469e-01,  1.54420588e-01,
        1.91006299e-01,  1.09036855e-01,  9.71159121e-02,  5.61825953e-02,
        7.87150705e-02,  4.23521145e-02,  8.59208499e-02,  6.26083832e-02,
       -1.16600590e-27], [-2.91238657e-26,  5.93697796e-01,  3.88315109e-01,  3.30958014e-01,
        3.22295854e-01,  5.72896351e-01,  5.43917353e-01,  2.64469557e-01,
        2.31197035e-01,  2.81903908e-01,  2.59389807e-01,  2.07589588e-01,
        2.06704670e-01,  1.74676170e-01,  1.29245810e-01,  1.37554549e-01,
        1.16521637e-01,  7.87530578e-02,  5.30646257e-02,  1.03205582e-01,
        9.77936969e-02,  4.91555714e-02,  2.39044959e-02,  1.38877273e-02,
       -2.91238657e-26], [-1.16549722e-26,  6.09548982e-01,  3.85013688e-01,  3.42869404e-01,
        3.28595630e-01,  5.70652661e-01,  5.42170250e-01,  2.32987471e-01,
        2.08700538e-01,  2.60639486e-01,  2.56634162e-01,  2.18572691e-01,
        1.81445575e-01,  1.61492710e-01,  1.50629504e-01,  1.18171273e-01,
        1.43174807e-01,  9.99271468e-02,  8.51575567e-02,  1.11022241e-01,
        7.06337250e-02,  8.23362600e-02,  1.58282960e-02,  2.51695918e-02,
       -1.16549722e-26], [-2.63690358e-28,  5.80100950e-01,  3.43729980e-01,  3.62913285e-01,
        3.04246078e-01,  5.52087242e-01,  5.97777540e-01,  2.51501990e-01,
        2.02452862e-01,  3.13469819e-01,  2.37586496e-01,  1.86003456e-01,
        1.80642310e-01,  1.82233600e-01,  1.43461385e-01,  1.30393914e-01,
        1.29309124e-01,  8.87044563e-02,  3.01381416e-02,  8.59732449e-02,
        9.79453866e-02,  9.29223239e-02,  3.61761452e-02,  1.83626852e-02,
       -2.63690358e-28], [-1.76395674e-26,  6.17671284e-01,  3.83585752e-01,  3.62498259e-01,
        3.07065225e-01,  6.23495773e-01,  5.71773390e-01,  2.79287738e-01,
        1.87983884e-01,  2.74979874e-01,  2.79985634e-01,  1.95893678e-01,
        1.77001821e-01,  1.61948131e-01,  1.61611939e-01,  1.47945236e-01,
        1.60161866e-01,  1.30876292e-01,  6.50281428e-02,  1.03801342e-01,
        1.16079319e-01,  6.64649187e-02,  9.49827208e-03,  1.89686091e-02,
       -1.76395674e-26], [-2.89089049e-26,  6.02934913e-01,  3.78198480e-01,  3.43895191e-01,
        3.21384928e-01,  5.39193364e-01,  5.67992058e-01,  2.58194887e-01,
        1.76550362e-01,  3.06051143e-01,  2.33282365e-01,  1.97217294e-01,
        1.97926745e-01,  1.68734416e-01,  1.63855688e-01,  1.00811869e-01,
        1.56706259e-01,  1.20928387e-01,  9.86705931e-02,  7.22270656e-02,
        9.39794269e-02,  8.87250938e-02,  3.13798643e-02,  3.30843040e-02,
       -2.89089049e-26], [0.        , 0.62045213, 0.34966766, 0.35448   , 0.32201154,
       0.56365768, 0.59482504, 0.23678491, 0.23914883, 0.31694155,
       0.25846033, 0.22429789, 0.19551843, 0.16045926, 0.16729403,
       0.10605079, 0.17197156, 0.12562127, 0.04685481, 0.07069895,
       0.0961369 , 0.09156414, 0.04256138, 0.02312459, 0.        ], [-1.48816405e-28,  5.67622908e-01,  3.73764984e-01,  3.43865400e-01,
        3.08651119e-01,  5.74030592e-01,  5.83251591e-01,  2.71885626e-01,
        2.45362670e-01,  2.90171758e-01,  2.71125199e-01,  1.75634186e-01,
        1.95006989e-01,  1.80580344e-01,  1.72087260e-01,  1.24980333e-01,
        1.84449230e-01,  9.51728634e-02,  6.95174441e-02,  6.24770740e-02,
        1.05257546e-01,  7.32089927e-02,  2.13592056e-02,  3.62296679e-02,
       -1.48816405e-28], [-7.06795377e-27,  6.22962603e-01,  3.07817271e-01,  3.68147215e-01,
        2.81973927e-01,  5.76691048e-01,  5.56863354e-01,  2.69241469e-01,
        2.12618373e-01,  3.06055624e-01,  2.30832180e-01,  2.42809220e-01,
        1.80309514e-01,  2.34122965e-01,  1.34400545e-01,  1.35912605e-01,
        1.17162470e-01,  1.12396751e-01,  6.58735028e-02,  4.27376848e-02,
        9.93763633e-02,  6.93538663e-02, -1.73558259e-02,  6.53404846e-02,
       -7.06795377e-27]]"
4,"[0.059117281293690746, 0.06516087191606357, 0.06153872305307445, 0.06323110659037491, 0.06075888185516228, 0.059892691737808486, 0.06115542329976113, 0.05997921303526566, 0.06218427647796835, 0.06081837401710405]",0.06138368432762735,"[0.6655308053672393, 0.6434330842796611, 0.6544751141048544, 0.64759029304457, 0.6609119959088392, 0.6621853394117017, 0.6566146316159072, 0.6670891050760239, 0.6523103917445225, 0.6635257144749978]",0.6573666475028318,"[[-3.03897069e-27,  6.82816727e-01,  2.63518906e-01,  2.15795524e-01,
        1.33068864e-01,  3.46876500e-02,  9.28384305e-02,  1.20420989e-01,
        5.44552882e-01,  1.95418532e-01,  2.68641460e-01,  2.82842699e-01,
        1.55664116e-01,  8.56452129e-02,  3.78540214e-02, -2.27015557e-02,
       -2.86231479e-02,  5.94131663e-02, -1.94739327e-03, -3.73706877e-02,
        2.19880301e-02, -3.36142938e-02,  6.26642722e-03,  1.77248402e-02,
       -3.03897069e-27], [-4.15556962e-27,  6.45363786e-01,  2.61509544e-01,  2.07077285e-01,
        1.46030317e-01,  7.26829647e-02,  1.32963580e-01,  1.56797687e-01,
        5.16689879e-01,  2.36813860e-01,  2.87662999e-01,  2.84588775e-01,
        1.80125958e-01,  9.96721774e-02,  3.87711854e-02, -3.23195746e-02,
       -3.97790872e-02, -2.93656073e-03,  8.41636729e-03, -2.64400031e-02,
        3.66445316e-02, -2.12432775e-02, -8.29077989e-03, -9.06936961e-03,
       -4.15556962e-27], [-1.30395386e-27,  6.22286456e-01,  2.69363109e-01,  2.18990396e-01,
        1.04600889e-01,  5.84207186e-02,  1.00007363e-01,  1.07705547e-01,
        5.36086131e-01,  2.59646244e-01,  2.73983771e-01,  2.61640476e-01,
        1.61224647e-01,  1.35420124e-01,  4.10051740e-02,  2.70462876e-02,
        3.58183205e-02,  6.93504481e-02,  5.53230224e-03, -1.04582647e-02,
        3.64574649e-02,  7.07754367e-03,  2.72205484e-02,  1.13693918e-02,
       -1.30395386e-27], [-1.79580351e-26,  6.62618909e-01,  2.64275460e-01,  2.07930048e-01,
        1.19976987e-01,  7.74124080e-02,  1.06202886e-01,  1.14655736e-01,
        5.32487281e-01,  2.33544914e-01,  2.77490063e-01,  2.90211390e-01,
        1.75993745e-01,  1.17191974e-01,  3.12580078e-02,  1.46579585e-03,
        2.61030785e-02,  3.17445446e-02,  1.44510303e-02, -1.22512232e-02,
        4.47268203e-02, -2.06886888e-02,  2.89254961e-02,  7.63951525e-03,
       -1.79580351e-26], [-1.47699570e-28,  6.27442738e-01,  2.65212418e-01,  1.87053565e-01,
        9.71297054e-02,  7.17138546e-02,  1.19187293e-01,  1.13802300e-01,
        5.60980732e-01,  1.96515377e-01,  2.97620964e-01,  3.06063522e-01,
        1.64976318e-01,  1.40349063e-01,  3.19014658e-02, -6.07553954e-03,
        2.37719313e-02,  4.00548959e-02,  6.54325810e-03, -7.33482782e-03,
        5.52577837e-03, -1.15795919e-02,  3.76051215e-02, -9.64333449e-04,
       -1.47699570e-28], [-4.04089310e-27,  6.80177095e-01,  2.85199225e-01,  2.12409302e-01,
        1.14676521e-01,  7.61935863e-02,  1.10148721e-01,  1.29391786e-01,
        5.14110451e-01,  2.28197128e-01,  2.97653131e-01,  2.85178986e-01,
        1.28214537e-01,  1.39107002e-01,  2.94905116e-02,  1.43047964e-03,
        7.95335438e-03,  5.26340770e-02,  3.93390329e-02, -2.54452049e-02,
        4.72990707e-02, -3.52010069e-02, -2.05318315e-02,  6.96145876e-03,
       -4.04089310e-27], [-6.86252183e-27,  6.48823466e-01,  3.06839559e-01,  1.90818852e-01,
        1.12554222e-01,  7.24505729e-02,  1.07923314e-01,  1.09596542e-01,
        5.37586941e-01,  2.23678197e-01,  2.69453397e-01,  2.35301788e-01,
        1.45123153e-01,  1.22790712e-01,  6.60606900e-02, -1.37553482e-02,
       -9.10329377e-04,  5.00353526e-02, -2.18845206e-02, -3.55102973e-03,
        3.75869047e-02, -4.46903285e-02,  5.36169356e-02, -4.71249216e-04,
       -6.86252183e-27], [-7.26659421e-28,  6.38663693e-01,  2.71156930e-01,  1.98182357e-01,
        1.09233777e-01,  8.40972480e-02,  1.09518111e-01,  1.45438186e-01,
        5.35584323e-01,  2.25847997e-01,  2.49649307e-01,  2.90522165e-01,
        1.88377363e-01,  1.08546557e-01,  3.07208895e-03, -3.84955441e-02,
       -1.77490831e-02,  3.12043390e-02,  1.92761261e-02, -4.23160666e-03,
        4.58926575e-02, -4.32969250e-02,  2.33363719e-02, -8.76714094e-03,
       -7.26659421e-28], [-1.49588314e-26,  6.42599587e-01,  2.55293045e-01,  2.56914784e-01,
        1.00079056e-01,  8.63754042e-02,  1.44243360e-01,  1.57425865e-01,
        5.17954502e-01,  2.41501752e-01,  2.75842004e-01,  2.55958030e-01,
        1.58277151e-01,  8.65830283e-02,  2.21774612e-02, -4.14224316e-03,
        2.35173006e-03,  1.79626469e-02, -3.90007687e-03, -1.31990055e-02,
        3.06142769e-02, -1.80750232e-02,  2.44347446e-02,  1.01790683e-02,
       -1.49588314e-26], [-9.43826807e-27,  6.44288856e-01,  2.82839836e-01,  2.09125374e-01,
        7.42362492e-02,  3.90673421e-02,  1.00815593e-01,  1.08591933e-01,
        5.31246829e-01,  2.50007870e-01,  2.65967066e-01,  2.55019163e-01,
        1.79594294e-01,  1.01249997e-01,  3.80313346e-02, -2.19780991e-03,
        1.26073994e-03,  3.96698661e-02, -1.47247443e-02, -4.38874152e-02,
        4.43204069e-02, -1.96377052e-02,  6.18701586e-03, -7.44175232e-03,
       -9.43826807e-27]]"
