,correct after perturbations %,audio name,normalized,origConf,avgPertConf,binMethod,numBins,binEdges,overlapping,sigma,mse,mse avg,r2,r2 avg,coefs
0,"[0.4752623688155922, 0.47876061969015493, 0.48225887056471767, 0.5027486256871564, 0.5077461269365318, 0.49525237381309345]",audio/speech_commands/cat/9f869f70_nohash_0.wav,"[20000, 20000, 20000, 20000, 20000, 20000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4595, 0.456, 0.4587, 0.4785, 0.4824, 0.4702]","['EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN']","[25, 25, 25, 25, 25, 25]","[[(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)]]","[False, False, False, False, False, False]","[0.5, 0.75, 1, 1.4142135623730951, 2, 3]","[0.03503619999698043, 0.05052831401163247, 0.05861274745689507, 0.06190759330897831, 0.0677191206746814, 0.07620543305823364]",0.058334901417900216,"[0.7242703321956399, 0.7166727560378824, 0.7027752263611089, 0.7056297955376745, 0.6883833138224593, 0.650365521272064]",0.6980161575378047,"[[ 8.39915756e-01,  2.20703389e-01,  4.30053032e-01,  1.02571105e-01,
        1.52331161e-01,  3.44098776e-01,  1.35770718e-03,  2.11615109e-02,
        1.29869748e-01,  1.65822486e-01,  5.95325876e-01,  1.92080874e-01,
        7.50469878e-02,  9.26874487e-02,  6.84258101e-02,  5.36027168e-02,
        2.99703325e-05, -1.22165773e-02, -6.79471040e-03,  1.31649725e-03,
        8.25417126e-04,  1.67616583e-03,  1.18499565e-02, -1.61010374e-02,
       -1.50452416e-02], [ 0.72320543,  0.17812216,  0.52549015,  0.09631859,  0.18106219,
        0.34396031,  0.1296005 ,  0.52735359,  0.20802407,  0.18529403,
        0.52607243,  0.25609253,  0.12936592,  0.09246555,  0.04916452,
        0.07680223,  0.01496895, -0.04083679, -0.00240978,  0.01327622,
       -0.03574375,  0.02431645,  0.02033124,  0.02494135, -0.00820513], [ 0.669396  ,  0.26514469,  0.48494687,  0.10200159,  0.20064899,
        0.35750739,  0.12630651,  0.54653864,  0.19472204,  0.23330555,
        0.48629743,  0.25092353,  0.07051663,  0.05991786,  0.04780586,
        0.05008819,  0.03710333, -0.02157156, -0.02489692,  0.01081244,
        0.01688886,  0.01931145,  0.00451056, -0.04211377,  0.01946531], [ 0.60575148,  0.21642868,  0.49927064,  0.08399712,  0.17251933,
        0.32124709,  0.13683995,  0.55540971,  0.19536838,  0.2586799 ,
        0.47258239,  0.24675643,  0.1392367 ,  0.06160285,  0.06432454,
        0.05191863,  0.03536202, -0.02346957,  0.00468473,  0.00587168,
       -0.01210863,  0.00379146,  0.0071684 ,  0.00173146,  0.02588782], [ 5.31112230e-01,  2.24311247e-01,  4.49400135e-01,  1.33932671e-01,
        2.17200765e-01,  3.50099158e-01,  1.06654030e-01,  5.19824207e-01,
        1.94473378e-01,  2.45197494e-01,  4.38423828e-01,  2.35236235e-01,
        9.68140012e-02,  6.38267463e-02,  4.52285306e-02,  6.18706097e-02,
        1.54961273e-02, -3.03048854e-02, -2.26572901e-02,  1.30645244e-02,
        5.18327519e-03,  9.46675004e-05,  5.72444239e-02,  1.08265753e-02,
        5.92611866e-03], [ 0.50708125,  0.2530376 ,  0.42180717,  0.13700616,  0.20381454,
        0.30624958,  0.11749501,  0.49052386,  0.18345586,  0.26855392,
        0.42136711,  0.23913211,  0.13165166,  0.08501546,  0.05552844,
        0.04885273,  0.02234855, -0.01023463,  0.01917497, -0.00669937,
        0.01133216,  0.02507864,  0.00473822,  0.00872397,  0.00520585]]"
1,"[0.3408295852073963, 0.34132933533233384, 0.3293353323338331, 0.33183408295852074, 0.3503248375812094, 0.3548225887056472]",audio/speech_commands/cat/f618568f_nohash_0.wav,"[20000, 20000, 20000, 20000, 20000, 20000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3333, 0.3313, 0.3188, 0.323, 0.3381, 0.345]","['EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN']","[25, 25, 25, 25, 25, 25]","[[(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)]]","[False, False, False, False, False, False]","[0.5, 0.75, 1, 1.4142135623730951, 2, 3]","[0.07061688481954355, 0.08196325805880339, 0.08600420032312119, 0.0846544317866928, 0.08805155254871803, 0.08832245839999744]",0.08326879765614607,"[0.6788943286991878, 0.6539853184105804, 0.6248861261395178, 0.6175428112350669, 0.597511788388853, 0.5927576065058326]",0.6275963298965065,"[[0.53188891, 0.6054743 , 0.53196122, 0.61457152, 0.34054793,
       0.2601273 , 0.30390679, 0.13919536, 0.23634791, 0.42587679,
       0.4864347 , 0.17625921, 0.1662227 , 0.12322849, 0.08613732,
       0.11578406, 0.17293069, 0.07895951, 0.0664765 , 0.09390902,
       0.08935487, 0.08041038, 0.08772787, 0.02912937, 0.02152446], [0.51490375, 0.50625682, 0.44469587, 0.46181512, 0.31510459,
       0.20641598, 0.23686511, 0.18450792, 0.22270415, 0.3762173 ,
       0.33400334, 0.15560265, 0.17099659, 0.13614025, 0.04336521,
       0.14200997, 0.17297849, 0.10577285, 0.05544295, 0.03577136,
       0.08482572, 0.15867398, 0.10665677, 0.04689263, 0.06832192], [0.463646  , 0.43451842, 0.43682609, 0.4504649 , 0.28694332,
       0.2125459 , 0.22790148, 0.18067374, 0.22816716, 0.32191327,
       0.34582077, 0.14659734, 0.12445078, 0.12803189, 0.09205115,
       0.10226393, 0.12170938, 0.11515393, 0.04008687, 0.08559317,
       0.07357565, 0.08497603, 0.069152  , 0.04780713, 0.07061599], [0.38171392, 0.44521702, 0.38277428, 0.38101062, 0.29105655,
       0.2279929 , 0.24120533, 0.15921556, 0.25411925, 0.27353392,
       0.31113725, 0.1710751 , 0.12169676, 0.13440797, 0.06364141,
       0.12950584, 0.12253982, 0.09449857, 0.05388533, 0.04610988,
       0.0502441 , 0.06882746, 0.0772425 , 0.03602595, 0.06389287], [0.38551899, 0.42986602, 0.34334533, 0.3709527 , 0.25713845,
       0.20821283, 0.19945836, 0.16411637, 0.21879423, 0.29215317,
       0.28262741, 0.13904654, 0.10666835, 0.14908684, 0.044983  ,
       0.09304566, 0.10770701, 0.15320366, 0.05843811, 0.0713607 ,
       0.0937538 , 0.09335593, 0.09400055, 0.0255766 , 0.04186898], [0.38484398, 0.41632174, 0.3472591 , 0.39063835, 0.24773694,
       0.19328265, 0.18934655, 0.10257664, 0.23391942, 0.27853463,
       0.31316895, 0.11761284, 0.13219272, 0.13081042, 0.10414764,
       0.09336208, 0.14144994, 0.12174062, 0.03177994, 0.09650226,
       0.04001097, 0.05679311, 0.08392726, 0.04513345, 0.04263116]]"
2,"[0.7876061969015492, 0.769615192403798, 0.7731134432783608, 0.768615692153923, 0.7576211894052973, 0.7831084457771115]",audio/speech_commands/cat/e9a76b2f_nohash_0.wav,"[20000, 20000, 20000, 20000, 20000, 20000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.769, 0.7485, 0.7524, 0.751, 0.7393, 0.763]","['EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN']","[25, 25, 25, 25, 25, 25]","[[(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)]]","[False, False, False, False, False, False]","[0.5, 0.75, 1, 1.4142135623730951, 2, 3]","[0.06226891907401601, 0.0739169946781214, 0.08877283420191909, 0.09495343383495708, 0.10150095293830047, 0.09582887930014608]",0.08620700233791002,"[0.24363841048734347, 0.2960553908143889, 0.30491738817870384, 0.355246147831195, 0.3706107677448772, 0.3715828641061706]",0.3236751615271132,"[[ 0.26347227,  0.03185795,  0.3617073 , -0.00358873, -0.00061431,
        0.1064126 ,  0.08773774,  0.04453174, -0.04784366, -0.05700786,
        0.07854538,  0.03588273, -0.00449824, -0.06065435,  0.05974339,
        0.10491771,  0.14248078,  0.12382006,  0.15436725,  0.14461083,
        0.0013231 ,  0.1610692 ,  0.02673805,  0.05378619,  0.02095095], [ 3.64805519e-01,  2.66326900e-02,  4.84137302e-01,  1.39538868e-02,
        2.42213806e-02,  1.06379891e-01,  9.15356739e-02,  1.09747561e-01,
        4.04370030e-04, -3.20977743e-02,  1.21579567e-01,  2.18101371e-02,
       -1.24117051e-02, -5.98891731e-02,  1.59293533e-02,  9.54865169e-02,
        5.92649720e-02,  4.84709792e-02,  1.54293400e-01,  1.62723366e-01,
        7.31011993e-02,  8.54481445e-02,  4.45124322e-02,  7.26203282e-02,
        1.25589823e-02], [ 0.33214442,  0.03808909,  0.4570573 ,  0.04396119,  0.04521615,
        0.12232063,  0.15726122,  0.09014673,  0.02352816, -0.02730733,
        0.10928989,  0.00959161, -0.01022138, -0.0734014 ,  0.06945216,
        0.08274963,  0.07260193,  0.04174972,  0.15812045,  0.14812565,
        0.03185314,  0.12625359,  0.02492639,  0.03937851,  0.05129529], [ 0.35353   ,  0.02842531,  0.50272005,  0.03724523,  0.04014246,
        0.12795388,  0.14719589,  0.15736591,  0.01231436, -0.00302183,
        0.06293481,  0.0261707 , -0.03401057, -0.06011432,  0.05788234,
        0.04118622,  0.10640508,  0.11681612,  0.18699141,  0.09874711,
        0.08986155,  0.10539132,  0.03625209,  0.05589709,  0.05006087], [ 0.34865857,  0.06374018,  0.50875409,  0.04603562,  0.02410518,
        0.16383412,  0.12843142,  0.11786633,  0.02784771,  0.00506206,
        0.10355207, -0.0257522 , -0.05301631, -0.06885791,  0.02293921,
        0.09426268,  0.08657565,  0.02400979,  0.13017029,  0.1667563 ,
        0.05582032,  0.09519474,  0.04408214,  0.03697432,  0.05753377], [ 3.06482372e-01,  1.82577010e-02,  5.18145605e-01,  7.18489161e-02,
        3.43952752e-02,  1.52964412e-01,  1.70476420e-01,  8.85265160e-02,
        2.37512442e-02, -1.65240387e-02,  1.11727794e-01,  4.89223138e-02,
       -4.46227599e-02, -7.12084086e-02,  4.24723917e-02, -2.74750461e-04,
        6.72576845e-02,  5.62222605e-02,  1.16981411e-01,  1.49492117e-01,
        2.75419946e-02,  7.89976310e-02,  4.29733771e-02,  4.67160844e-02,
        6.07069813e-02]]"
3,"[0.35932033983008493, 0.367816091954023, 0.3583208395802099, 0.36681659170414793, 0.3728135932033983, 0.3553223388305847]",audio/speech_commands/cat/ba676390_nohash_0.wav,"[20000, 20000, 20000, 20000, 20000, 20000]","[0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844]","[0.342, 0.352, 0.3435, 0.3499, 0.3577, 0.3394]","['EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN']","[25, 25, 25, 25, 25, 25]","[[(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)]]","[False, False, False, False, False, False]","[0.5, 0.75, 1, 1.4142135623730951, 2, 3]","[0.06920270138163638, 0.07484649961671459, 0.08489349405841815, 0.08735337820020717, 0.08567722122641623, 0.0892559627860453]",0.08187154287823964,"[0.662840764593608, 0.6588608124418314, 0.6236977871078329, 0.6114090105494925, 0.6110994159004735, 0.5780474321923631]",0.6243258704642669,"[[0.38428037, 0.75346676, 0.43912254, 0.11940385, 0.44399113,
       0.56791886, 0.04807503, 0.24156848, 0.1991832 , 0.20466087,
       0.20771672, 0.17570061, 0.14732939, 0.18584914, 0.12441299,
       0.18327656, 0.1570409 , 0.06924381, 0.04578842, 0.02861575,
       0.07654582, 0.01889019, 0.03922262, 0.03224   , 0.01827926], [ 0.32225101,  0.65904637,  0.41770305,  0.34587216,  0.38032759,
        0.5338546 ,  0.45862546,  0.21946054,  0.15039449,  0.16894485,
        0.22878118,  0.15157566,  0.21725255,  0.15334217,  0.13362074,
        0.13597073,  0.09231312,  0.09581709,  0.0616132 ,  0.04119867,
        0.04346378,  0.03548648, -0.03726594,  0.03068038,  0.02156017], [ 0.27506957,  0.54409075,  0.36511715,  0.32525508,  0.34348121,
        0.51312435,  0.47877228,  0.22472938,  0.14913318,  0.25801658,
        0.20555471,  0.16627561,  0.13519912,  0.13441888,  0.11956185,
        0.16841989,  0.14273114,  0.06363583,  0.07947091,  0.0551824 ,
        0.06406525,  0.03381574,  0.0411903 , -0.01215827,  0.01506802], [0.30343531, 0.48460844, 0.33752957, 0.25696552, 0.32489476,
       0.50423225, 0.45890743, 0.13508667, 0.14390704, 0.17872895,
       0.17911373, 0.17400657, 0.15045749, 0.17687892, 0.13402278,
       0.11194306, 0.14244747, 0.07192964, 0.03714568, 0.06918167,
       0.08025694, 0.03684573, 0.02073966, 0.01599704, 0.03277218], [0.25508076, 0.45692069, 0.35522664, 0.27828792, 0.32918566,
       0.46591702, 0.41196926, 0.15030129, 0.12567237, 0.20787491,
       0.20301547, 0.18447877, 0.17322922, 0.10678191, 0.12008417,
       0.12512233, 0.10466083, 0.08020506, 0.0712677 , 0.07236197,
       0.05188081, 0.01493863, 0.02848868, 0.02014359, 0.02834554], [0.26468026, 0.39491403, 0.31172135, 0.26197312, 0.30147421,
       0.41810179, 0.41385952, 0.1742878 , 0.13550609, 0.19831126,
       0.17970309, 0.13320188, 0.16715264, 0.11841012, 0.07468216,
       0.13896536, 0.11346017, 0.06848719, 0.05655505, 0.08524761,
       0.07035736, 0.07915193, 0.02038625, 0.05155052, 0.01839779]]"
4,"[0.5252373813093453, 0.512743628185907, 0.512743628185907, 0.5147426286856571, 0.5142428785607196, 0.5032483758120939]",audio/speech_commands/cat/db7c95b0_nohash_0.wav,"[20000, 20000, 20000, 20000, 20000, 20000]","[0.969, 0.969, 0.969, 0.969, 0.969, 0.969]","[0.4585, 0.4482, 0.45, 0.4517, 0.4526, 0.4429]","['EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN', 'EVEN']","[25, 25, 25, 25, 25, 25]","[[(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)], [(0, 102), (102, 204), (204, 307), (307, 409), (409, 511), (511, 614), (614, 716), (716, 818), (818, 921), (921, 1023), (1023, 1125), (1125, 1228), (1228, 1330), (1330, 1433), (1433, 1535), (1535, 1637), (1637, 1740), (1740, 1842), (1842, 1944), (1944, 2047), (2047, 2149), (2149, 2251), (2251, 2354), (2354, 2456), (2456, 2559)]]","[False, False, False, False, False, False]","[0.5, 0.75, 1, 1.4142135623730951, 2, 3]","[0.06270017360734904, 0.06748691034549474, 0.06713408545680338, 0.06369518739762169, 0.06571036207748764, 0.0644743964520247]",0.06520018588946354,"[0.6504837529609178, 0.6230352974580108, 0.6234578422687838, 0.642691352888856, 0.633706879189903, 0.6417914965317008]",0.6358611035496953,"[[ 0.2777606 ,  0.55767826,  0.24909301,  0.18589602,  0.11961151,
        0.12359557,  0.08088351,  0.12905209,  0.42946637,  0.25965718,
        0.28066004,  0.27560211,  0.14347522,  0.11253401,  0.0481981 ,
        0.02653629,  0.05608207,  0.0434708 ,  0.01347886, -0.02514783,
        0.06852061, -0.00922699, -0.02995193,  0.00283225,  0.01202137], [ 0.26224978,  0.51439069,  0.27826027,  0.16907243,  0.11933373,
        0.1419909 ,  0.10101704,  0.08352892,  0.42162575,  0.29769135,
        0.2533488 ,  0.24600475,  0.11077853,  0.13621384,  0.05175595,
        0.04156603,  0.02282019,  0.04106369,  0.01666699,  0.00386862,
        0.05896828,  0.00569781,  0.01374446,  0.01471675, -0.048172  ], [ 0.25361297,  0.50328798,  0.25184777,  0.17696568,  0.15528326,
        0.13481177,  0.09482088,  0.1103581 ,  0.43752077,  0.26766038,
        0.26735681,  0.22269746,  0.10755777,  0.08317211,  0.04110162,
       -0.01403081,  0.00895419,  0.04205766,  0.04905369,  0.0064473 ,
        0.0106579 , -0.00561236,  0.02318865, -0.00977589, -0.00550679], [ 2.96814948e-01,  5.40639033e-01,  2.73074598e-01,  1.87982187e-01,
        1.56410897e-01,  9.31962895e-02,  1.23849135e-01,  1.01596415e-01,
        4.47535944e-01,  2.92034254e-01,  2.35035046e-01,  2.30106870e-01,
        1.82870607e-01,  9.49853897e-02,  6.29780125e-02,  1.31490430e-02,
        6.58490627e-02,  3.07034400e-02,  5.00554940e-02, -7.70111487e-03,
        7.26156346e-03,  6.09126672e-03, -2.81756790e-02,  2.32252648e-03,
        5.23650957e-04], [ 0.28147907,  0.51874138,  0.2796748 ,  0.1977593 ,  0.1720728 ,
        0.12543806,  0.10372276,  0.10214325,  0.44321634,  0.2369183 ,
        0.27168562,  0.27875654,  0.14361062,  0.10051146,  0.06264606,
        0.02150604,  0.01531631,  0.03092957,  0.0296519 ,  0.04250513,
        0.05916026,  0.00507428,  0.01248551,  0.00080787, -0.0437867 ], [ 2.53966290e-01,  4.86472356e-01,  2.50382030e-01,  1.93167514e-01,
        1.23793946e-01,  1.27135265e-01,  1.22325577e-01,  7.64480371e-02,
        4.59830121e-01,  2.60878986e-01,  2.28522574e-01,  2.62372799e-01,
        1.41899924e-01,  8.86408110e-02,  4.01392561e-02,  2.54150253e-02,
        3.97170621e-02,  5.57209130e-02,  4.40314313e-02, -3.66696559e-04,
        2.34038641e-02, -4.15813352e-03, -4.01526175e-03, -3.44518696e-03,
       -2.87788751e-02]]"
