,audio name,normalized,origConf,avgPertConf,binEdges,mse,mse avg,r2,r2 avg,coefs
0,audio/speech_commands/cat/9f869f70_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5176, 0.5444, 0.5186, 0.5083, 0.5107]",[],"[0.09147560532982624, 0.08777268811501228, 0.09330432286740162, 0.09192620329184685, 0.08756882405364601]",0.0904095287315466,"[0.5865261769265332, 0.599136647114755, 0.5765818559594169, 0.58032088955441, 0.5943408616166392]",0.5873812862343508,"[[ 0.13009332,  0.25962067,  0.05733169,  0.18309212,  0.17868247,
        0.0841461 ,  0.0289027 ,  0.04880509,  0.25170812,  0.24371507,
        0.01404156,  0.51431928,  0.38104438,  0.23337385,  0.24141563,
        0.48687112,  0.17044302,  0.07407864,  0.08970457,  0.01878758,
       -0.01402257,  0.09238581,  0.02735011,  0.08177748, -0.03015096], [ 0.19688976,  0.26798454,  0.11572932,  0.1819637 ,  0.15940605,
        0.09982947, -0.01163667,  0.10869378,  0.26316902,  0.21541684,
        0.00517589,  0.50910964,  0.38531873,  0.19822232,  0.26711288,
        0.51939748,  0.21144395,  0.02309446,  0.07863897,  0.03794024,
       -0.00256364,  0.05435336,  0.03405483,  0.04083376,  0.0467313 ], [ 0.14213055,  0.29004036,  0.07655688,  0.20003004,  0.18305008,
        0.06244431,  0.01859287,  0.1359993 ,  0.24091379,  0.23802757,
        0.01685513,  0.47951127,  0.38981073,  0.21795011,  0.24660995,
        0.47048586,  0.22176485,  0.06956962,  0.08118896,  0.01162265,
       -0.02634979,  0.07602587,  0.03083425,  0.05498639, -0.00125494], [ 0.18630259,  0.26148008,  0.07008831,  0.18684914,  0.24579012,
        0.07469322,  0.00629931,  0.13243332,  0.24397753,  0.21773343,
       -0.00385999,  0.51261791,  0.40372186,  0.22958488,  0.31194788,
        0.53014521,  0.16756523,  0.08810078,  0.06690981,  0.04271088,
       -0.01287519,  0.05545397,  0.04921423,  0.06631799, -0.02237186], [0.20446931, 0.25302646, 0.05511153, 0.22676223, 0.17471538,
       0.0774749 , 0.01524166, 0.1043489 , 0.25170954, 0.25226167,
       0.01202438, 0.52855564, 0.39700889, 0.19594596, 0.29691733,
       0.5297751 , 0.20654271, 0.07766735, 0.09691179, 0.05236185,
       0.01042157, 0.06966086, 0.04552623, 0.05918215, 0.02653399]]"
1,audio/speech_commands/cat/f618568f_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.4026, 0.4092, 0.4028, 0.4211, 0.4075]",[],"[0.0751851777592333, 0.0782165896319583, 0.07910672874432918, 0.07539148139856079, 0.0782421091217802]",0.07722841733117235,"[0.6507328596519779, 0.6368898779482625, 0.6328505806901954, 0.6571063499653576, 0.6438530406851608]",0.6442865417881908,"[[0.16520504, 0.26037148, 0.07152775, 0.34875481, 0.19786092,
       0.14379585, 0.07896816, 0.15176819, 0.33798057, 0.1025201 ,
       0.09242281, 0.24515014, 0.20031213, 0.30159228, 0.36751957,
       0.29116933, 0.22271898, 0.21630654, 0.15278432, 0.18984031,
       0.13750794, 0.17045336, 0.09670169, 0.15967327, 0.08857881], [0.13171524, 0.2995892 , 0.06594601, 0.3436577 , 0.18423889,
       0.13846136, 0.12052788, 0.18924467, 0.38283664, 0.14698712,
       0.08234493, 0.22670176, 0.19503654, 0.32355273, 0.37224053,
       0.28766604, 0.23890344, 0.24279909, 0.08976861, 0.2101203 ,
       0.17348855, 0.15424587, 0.08393642, 0.20989867, 0.11928547], [0.13166464, 0.27597628, 0.07533482, 0.35833906, 0.15530684,
       0.14332605, 0.1332343 , 0.16729718, 0.40786313, 0.13143047,
       0.05490743, 0.17480601, 0.17894088, 0.32441998, 0.34740797,
       0.28254557, 0.22292983, 0.24099726, 0.14651712, 0.2072131 ,
       0.15538196, 0.18369245, 0.10357286, 0.19168669, 0.07542268], [0.13104118, 0.30515233, 0.07691494, 0.36308395, 0.17921344,
       0.14427783, 0.08026723, 0.1463637 , 0.37844898, 0.1751453 ,
       0.1096094 , 0.2088361 , 0.21476386, 0.32385031, 0.36212447,
       0.28029266, 0.21366928, 0.25939407, 0.11472212, 0.23470625,
       0.18485144, 0.18692746, 0.11504478, 0.21134606, 0.10923804], [0.15357038, 0.26430484, 0.05689864, 0.37052845, 0.18101046,
       0.16998265, 0.09170789, 0.14362273, 0.40984269, 0.15338601,
       0.10608156, 0.18022345, 0.18832436, 0.30354667, 0.35615632,
       0.28523553, 0.21298126, 0.27506475, 0.11527723, 0.232418  ,
       0.17445489, 0.14048341, 0.12562434, 0.19702381, 0.06897113]]"
2,audio/speech_commands/cat/e9a76b2f_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8145, 0.8203, 0.812, 0.807, 0.8057]",[],"[0.11112238123820187, 0.10611297964900102, 0.10478758057536289, 0.10546186613379364, 0.10521273074617639]",0.10653950766850717,"[0.17955546531541278, 0.19487054926616687, 0.2179717751364687, 0.2095666772757315, 0.20018390734072045]",0.20042967486690005,"[[ 0.08169054,  0.07188132,  0.04536346,  0.01040962,  0.07074823,
        0.25612069,  0.07563991,  0.01726893,  0.02739991,  0.05599499,
        0.08379039,  0.11165439,  0.05416525,  0.1251446 ,  0.00516917,
        0.07058488, -0.02970342, -0.0854519 , -0.03731863,  0.07790362,
        0.1027195 ,  0.15224539,  0.11582959,  0.05370061, -0.00604092], [ 0.16029144,  0.06656482,  0.01994695,  0.04190776,  0.05060982,
        0.12684552,  0.08772477,  0.05707909,  0.04735125,  0.04809682,
        0.08617298,  0.10470284,  0.00108968,  0.08544802,  0.01102029,
        0.08272554, -0.03388305, -0.03828431, -0.01359725,  0.04235756,
        0.1173489 ,  0.22833321,  0.15839732,  0.08724865,  0.07898746], [ 0.16162377,  0.12481454,  0.01459389,  0.00224313,  0.06812634,
        0.26273017,  0.07096088,  0.04904873,  0.04541494,  0.05158157,
        0.10111316,  0.12424143,  0.03161686,  0.07632093, -0.03202947,
        0.07459636, -0.04858947, -0.03242282, -0.02342485,  0.08335261,
        0.04609118,  0.2160877 ,  0.11363375,  0.06561688,  0.09874248], [ 0.13744787,  0.09251984,  0.04025524,  0.00734997,  0.02255867,
        0.25490765,  0.11582289,  0.0290088 ,  0.04676975,  0.0486978 ,
        0.12426079,  0.06435924,  0.02058905,  0.02345046, -0.00802238,
        0.02905996, -0.0348702 , -0.06449107, -0.02738612,  0.11920916,
        0.04224876,  0.20325348,  0.13824185,  0.06968643,  0.09670416], [ 1.50404689e-01,  1.34895691e-01,  3.43020270e-03,  2.58015089e-02,
        6.11524622e-02,  2.25585281e-01,  6.39897158e-02,  3.29082068e-02,
        4.98386602e-02,  9.55055583e-02,  1.18288194e-01,  1.38565119e-01,
        3.31257191e-02, -1.69122866e-02, -1.72665862e-02,  3.88481992e-02,
       -5.64996610e-02, -2.48135741e-02, -2.09702574e-04,  2.43534344e-02,
        9.55581816e-02,  1.98247749e-01,  1.16779198e-01,  8.38044804e-02,
        6.46489596e-02]]"
3,audio/speech_commands/cat/ba676390_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[0.9844, 0.9844, 0.9844, 0.9844, 0.9844]","[0.3533, 0.3657, 0.3616, 0.3462, 0.3699]",[],"[0.08536124399069116, 0.08824914472565756, 0.09015695158294298, 0.08723961967456481, 0.08403478309918735]",0.08700834861460878,"[0.5925214127163667, 0.5834577083511425, 0.5764054753839446, 0.587327127551698, 0.6198895136485295]",0.5919202475303363,"[[0.16173968, 0.11814174, 0.14206408, 0.38362845, 0.23716312,
       0.10568451, 0.15682153, 0.24642058, 0.27801672, 0.25220662,
       0.23864548, 0.15319265, 0.12458482, 0.15061623, 0.19912074,
       0.3544229 , 0.22619682, 0.19105373, 0.19188368, 0.18245764,
       0.15410708, 0.18270845, 0.13430104, 0.07896134, 0.050198  ], [0.1201109 , 0.12160102, 0.16832105, 0.40532528, 0.21135039,
       0.11242326, 0.1366487 , 0.24608775, 0.28817348, 0.23049272,
       0.26804281, 0.17486764, 0.12986485, 0.13883684, 0.22562752,
       0.42824837, 0.22678525, 0.19463602, 0.14647551, 0.22087734,
       0.15010945, 0.13254279, 0.16586391, 0.07581921, 0.02084395], [0.15993929, 0.1175336 , 0.18502772, 0.38179303, 0.19835073,
       0.08276032, 0.1760408 , 0.23838368, 0.29809669, 0.257992  ,
       0.25513179, 0.16354601, 0.15633984, 0.13460816, 0.21402541,
       0.42724987, 0.19743176, 0.22978882, 0.18551885, 0.19024251,
       0.11978074, 0.13857983, 0.12776604, 0.07965239, 0.04804745], [0.19395564, 0.11585675, 0.16940234, 0.40381109, 0.23989242,
       0.12142264, 0.0930512 , 0.24061194, 0.25738319, 0.20771393,
       0.23067836, 0.18690229, 0.09830035, 0.1641392 , 0.21701231,
       0.41952142, 0.20159845, 0.17246582, 0.19091004, 0.19163041,
       0.10853684, 0.16142974, 0.11589485, 0.08943029, 0.04882147], [0.19925707, 0.13454751, 0.17173436, 0.38720189, 0.20174159,
       0.11844879, 0.14459179, 0.24252632, 0.34076203, 0.27850804,
       0.25601751, 0.14884731, 0.1144557 , 0.17450097, 0.2559832 ,
       0.41914929, 0.1667352 , 0.22458041, 0.1718331 , 0.22556147,
       0.11783353, 0.16557864, 0.15464417, 0.10501537, 0.02251024]]"
4,audio/speech_commands/cat/db7c95b0_nohash_0.wav,"[5000, 10000, 15000, 20000, 25000]","[0.969, 0.969, 0.969, 0.969, 0.969]","[0.4504, 0.4617, 0.457, 0.4521, 0.4727]",[],"[0.0680157431980442, 0.06822323982982516, 0.0686621445434945, 0.0694229631129763, 0.06697468179639171]",0.06825975449614638,"[0.6082362850341159, 0.6060751485139508, 0.5985207172626144, 0.6050507261974305, 0.6152574913769774]",0.6066280736770178,"[[0.061081  , 0.22279105, 0.32428527, 0.20010473, 0.14781843,
       0.07432233, 0.19130076, 0.05508246, 0.09739999, 0.18387796,
       0.04802986, 0.03933866, 0.25335898, 0.2479252 , 0.26448496,
       0.43682251, 0.29041158, 0.20212269, 0.10719921, 0.06032603,
       0.1418833 , 0.09336498, 0.12734259, 0.1265457 , 0.0201591 ], [0.10038491, 0.24020165, 0.29897271, 0.21482973, 0.12479354,
       0.04580221, 0.13401062, 0.0876232 , 0.1211892 , 0.14800267,
       0.04963567, 0.06217942, 0.25917625, 0.19386606, 0.28165479,
       0.41743479, 0.27219602, 0.21855997, 0.12835028, 0.06821759,
       0.16680049, 0.08478601, 0.12738705, 0.136936  , 0.04781469], [0.04699618, 0.2314326 , 0.32135048, 0.22440859, 0.13969636,
       0.02956415, 0.1720979 , 0.05974107, 0.11524934, 0.16737887,
       0.03952238, 0.01615708, 0.27657741, 0.24296731, 0.29249761,
       0.39924203, 0.24845783, 0.20136062, 0.13466047, 0.0316517 ,
       0.17721831, 0.13491818, 0.13837143, 0.11813301, 0.00577235], [ 0.09586837,  0.23274607,  0.30471953,  0.2322859 ,  0.17058791,
        0.04494197,  0.13391108,  0.08325648,  0.10143196,  0.1819809 ,
        0.07370999,  0.00875322,  0.26515268,  0.26491337,  0.24961672,
        0.44685299,  0.28385405,  0.20715344,  0.09859667,  0.06783428,
        0.14111432,  0.12199953,  0.13072584,  0.14138959, -0.01153877], [0.07545467, 0.25453213, 0.29267222, 0.18976596, 0.15822694,
       0.06257784, 0.1403401 , 0.07301473, 0.10966461, 0.15852048,
       0.0340888 , 0.02731356, 0.28480102, 0.24968804, 0.26757185,
       0.41260371, 0.27593546, 0.25849388, 0.11889023, 0.04310474,
       0.1715089 , 0.09262968, 0.13716988, 0.12417953, 0.01287499]]"
