,audio name,normalized,mse,mse avg,r2,r2 avg,coefs
0,audio/speech_commands/cat/9f869f70_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[0.07914302611747116, 0.07806982582142732, 0.08499715192826685, 0.07703220850856381, 0.07807066240570827, 0.0705491279765406, 0.07621044580192986, 0.0717267217460125, 0.0718596976712814]",0.07640654088635575,"[0.6405409212509089, 0.6424069585049339, 0.6094738406789191, 0.6389125505409443, 0.6341900433601666, 0.6515725783552961, 0.6281056249731283, 0.6198648524318258, 0.6146187803927179]",0.6310762389432044,"[[-9.66011318e-28,  3.11345686e-01,  4.28228990e-01,  1.86611117e-01,
        3.64518089e-01,  3.98679898e-01,  2.36190236e-01,  5.15090637e-01,
        2.41619654e-01,  3.09815362e-01,  4.61109689e-01,  2.12356307e-01,
        8.66459818e-02,  6.13430431e-02,  5.39939874e-02,  6.05346964e-02,
       -1.68944052e-02, -5.24643089e-02, -6.74586630e-02,  2.94806200e-02,
        4.24187161e-03, -6.31909959e-03,  1.49719065e-02, -1.39376925e-02,
       -9.66011318e-28], [-1.04339854e-25,  3.16930662e-01,  3.78838126e-01,  1.98516360e-01,
        3.51698342e-01,  3.82513230e-01,  2.75226365e-01,  5.06628061e-01,
        2.75678209e-01,  2.40849372e-01,  4.51292177e-01,  2.25492806e-01,
        1.09817577e-01,  6.58872176e-02,  2.40517167e-03,  5.48427934e-02,
       -6.85388096e-03, -6.21930377e-02, -2.39396452e-02,  3.92802091e-02,
        2.97423512e-02, -2.14094087e-02, -5.61842598e-03,  6.93001153e-03,
       -1.04339854e-25], [-9.33384405e-27,  3.41339691e-01,  3.76408094e-01,  1.51789922e-01,
        3.39110111e-01,  3.72788101e-01,  2.64085043e-01,  5.35025763e-01,
        2.35189690e-01,  2.83377111e-01,  4.43207874e-01,  2.70284851e-01,
        1.02012734e-01,  4.70781368e-02,  5.39802386e-02,  7.20899778e-02,
       -1.21490346e-02, -5.24581796e-02, -4.37417499e-02,  1.38207987e-02,
        1.80585399e-02,  4.31357423e-03, -1.27344578e-02,  1.32545310e-03,
       -9.33384405e-27], [-1.55009761e-26,  3.43151846e-01,  3.45250329e-01,  1.71877607e-01,
        3.41707520e-01,  3.88711379e-01,  2.22741082e-01,  5.41703956e-01,
        2.21087032e-01,  2.76645122e-01,  4.86077471e-01,  2.00746872e-01,
        8.59692984e-02,  6.24406958e-02,  2.30779954e-02,  3.30625083e-02,
        1.12243608e-02, -5.64596374e-02, -4.27329036e-02,  1.39557865e-02,
        2.89462339e-03, -2.47040622e-02,  2.79862789e-02, -1.14644908e-02,
       -1.55009761e-26], [-4.62511391e-26,  3.19280276e-01,  4.48435676e-01,  1.90271435e-01,
        3.35521280e-01,  3.59893427e-01,  2.76436683e-01,  5.63242876e-01,
        2.34499714e-01,  2.78982863e-01,  4.84075157e-01,  2.11620150e-01,
        8.41641403e-02,  4.24441152e-02,  3.01287298e-02,  5.75764643e-02,
        3.94519212e-03, -3.72729407e-02, -1.60964968e-02,  3.10147691e-03,
        2.27163993e-03, -4.13304119e-03, -1.65248537e-02,  1.07226975e-02,
       -4.62511391e-26], [-9.46065874e-26,  3.21353236e-01,  4.12063131e-01,  1.76527191e-01,
        3.15651687e-01,  3.85923077e-01,  2.49743472e-01,  5.78795106e-01,
        2.14928660e-01,  2.61677048e-01,  5.00608864e-01,  2.28381580e-01,
        8.36065065e-02,  5.03046978e-02,  3.98054632e-02,  5.16703632e-02,
       -2.92855814e-02, -5.64201406e-02, -3.83020342e-02,  3.10095937e-03,
       -1.61253102e-02,  3.07929428e-03, -1.03157493e-02,  4.01200224e-03,
       -9.46065874e-26], [-6.74529418e-27,  3.36089584e-01,  4.66849733e-01,  2.02570161e-01,
        3.37308518e-01,  4.04671144e-01,  2.28966951e-01,  5.45835554e-01,
        2.48210773e-01,  2.60826226e-01,  5.18360072e-01,  2.38328337e-01,
        1.32849419e-01,  5.56517275e-02,  1.51246769e-02,  3.23112179e-02,
       -2.23787150e-02, -6.94155724e-02, -6.67638660e-02,  1.57315818e-02,
        5.93974957e-03, -2.86693147e-02,  1.86890521e-02, -2.25725388e-02,
       -6.74529418e-27], [-1.54523527e-26,  3.18036356e-01,  4.37957276e-01,  1.90521027e-01,
        4.22586106e-01,  3.96350806e-01,  2.06903508e-01,  5.85825917e-01,
        1.94656090e-01,  2.76733508e-01,  5.26161073e-01,  2.20522727e-01,
        8.28180288e-02,  2.94114147e-02,  2.41289189e-02,  4.17655393e-02,
       -1.46106992e-02, -8.54896895e-02, -8.83510127e-02,  9.48861201e-03,
       -9.15950677e-03, -1.23123402e-02, -1.03620274e-02, -8.25487351e-03,
       -1.54523527e-26], [-5.88252556e-27,  3.35240698e-01,  3.76521188e-01,  1.55240125e-01,
        3.94615164e-01,  4.04087792e-01,  2.64365293e-01,  6.21442380e-01,
        1.95375449e-01,  2.27002133e-01,  5.34101014e-01,  1.83839471e-01,
        8.42392643e-02,  4.03758064e-02,  1.59325957e-02,  4.79085270e-02,
       -2.84890346e-02, -6.16691645e-02, -8.10103689e-02,  1.55812016e-02,
       -6.29947687e-03, -1.87109572e-03, -9.32029452e-03, -3.48829372e-02,
       -5.88252556e-27]]"
1,audio/speech_commands/cat/f618568f_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[0.07620482805618192, 0.07666143989990858, 0.07623131614386769, 0.07440193282761376, 0.08064978027175577, 0.07750488053273534, 0.07506369145963425, 0.07963978612969147, 0.0750010723372735]",0.07681763640651802,"[0.6697600766646612, 0.668003194683011, 0.6676576154645592, 0.6809451645028515, 0.652431910788688, 0.6649993837576866, 0.677421249898399, 0.6609863821542759, 0.6807584231789845]",0.6692181556770129,"[[2.32236518e-28, 5.69207099e-01, 4.12003820e-01, 4.13105781e-01,
       4.69113806e-01, 2.51442334e-01, 2.45316126e-01, 2.36536296e-01,
       3.33379572e-01, 2.78575497e-01, 3.78629152e-01, 1.90207358e-01,
       1.59683271e-01, 2.00201830e-01, 1.11012129e-01, 1.48835983e-01,
       1.73701537e-01, 1.22274886e-01, 7.92636260e-02, 9.04536390e-02,
       8.89613373e-02, 1.38249240e-01, 9.50722990e-02, 8.21882882e-02,
       2.32236518e-28], [-6.11142617e-27,  4.92650820e-01,  4.17866758e-01,  3.81672583e-01,
        4.33549652e-01,  2.48002643e-01,  3.15827213e-01,  2.51856615e-01,
        2.98333748e-01,  2.50483078e-01,  3.46134760e-01,  2.57121018e-01,
        1.93876871e-01,  1.93118810e-01,  1.03534820e-01,  1.38756509e-01,
        1.05946335e-01,  1.20242770e-01,  4.55769246e-02,  1.02711831e-01,
        6.20332498e-02,  1.29502242e-01,  1.21443265e-01,  7.78017271e-02,
       -6.11142617e-27], [-2.78977815e-26,  5.36193986e-01,  4.01503196e-01,  4.33946594e-01,
        4.68898524e-01,  2.85226034e-01,  2.56686361e-01,  2.19104479e-01,
        3.22712001e-01,  2.57163002e-01,  3.84435128e-01,  2.45330071e-01,
        1.72444073e-01,  1.50596965e-01,  8.37961065e-02,  1.53332111e-01,
        1.40484521e-01,  1.53408569e-01,  8.60378195e-02,  7.47434909e-02,
        1.25319843e-01,  1.41761298e-01,  9.36029406e-02,  5.62844213e-02,
       -2.78977815e-26], [-1.84080250e-26,  5.50514042e-01,  4.32290184e-01,  4.10054782e-01,
        4.97463475e-01,  2.65882494e-01,  2.85450995e-01,  2.23908898e-01,
        3.22218010e-01,  2.50597409e-01,  3.78178474e-01,  2.12429732e-01,
        1.46706255e-01,  2.06557400e-01,  9.23244619e-02,  1.48378707e-01,
        1.56955835e-01,  1.11925946e-01,  8.08820173e-02,  1.06335936e-01,
        1.00136625e-01,  1.23684823e-01,  8.56569744e-02,  5.11232764e-02,
       -1.84080250e-26], [-1.90908319e-26,  5.76706099e-01,  4.12671841e-01,  3.88676495e-01,
        4.23091826e-01,  2.20464418e-01,  2.92033700e-01,  2.27397807e-01,
        3.34518509e-01,  2.96202997e-01,  3.88024258e-01,  1.90625807e-01,
        1.61264831e-01,  2.00712045e-01,  7.65815559e-02,  1.21438082e-01,
        1.38137319e-01,  1.18851536e-01,  3.62487633e-02,  5.22056084e-02,
        7.92319885e-02,  1.11815148e-01,  6.97822548e-02,  5.77084196e-02,
       -1.90908319e-26], [-6.82943182e-27,  5.69656893e-01,  4.01288683e-01,  4.00911121e-01,
        4.80073991e-01,  3.00088816e-01,  2.80106071e-01,  2.06299887e-01,
        2.86778362e-01,  2.96886720e-01,  3.61329606e-01,  1.87873817e-01,
        1.60483005e-01,  2.26181615e-01,  9.80447629e-02,  1.24244337e-01,
        1.73741067e-01,  1.47108795e-01,  7.99719680e-02,  5.64068534e-02,
        1.02288523e-01,  1.22283583e-01,  1.08945691e-01,  6.10929333e-02,
       -6.82943182e-27], [-2.94844676e-27,  5.31815017e-01,  4.38866721e-01,  4.23631696e-01,
        4.77138558e-01,  2.86802775e-01,  2.76224633e-01,  2.23930525e-01,
        3.18096699e-01,  2.99143379e-01,  3.90073196e-01,  2.32966433e-01,
        1.67311138e-01,  2.00695279e-01,  9.12072430e-02,  1.50535878e-01,
        1.67148630e-01,  1.54294737e-01,  2.54108532e-02,  5.28675466e-02,
        8.84182669e-02,  1.56780609e-01,  1.17074611e-01,  6.55007969e-02,
       -2.94844676e-27], [-9.30682224e-27,  5.85978213e-01,  4.34589868e-01,  4.28710284e-01,
        4.70245378e-01,  2.57201950e-01,  2.74223227e-01,  2.21499420e-01,
        3.38703846e-01,  2.88441423e-01,  3.80112527e-01,  2.12442959e-01,
        1.63671205e-01,  2.06905479e-01,  8.82812229e-02,  1.39038814e-01,
        1.31410650e-01,  1.07482411e-01,  6.89432914e-02,  5.45754591e-02,
        9.88395379e-02,  1.05116120e-01,  1.01959862e-01,  6.04680733e-02,
       -9.30682224e-27], [-1.96227548e-26,  5.43993392e-01,  4.48202334e-01,  4.51184592e-01,
        5.05635738e-01,  2.74771715e-01,  3.03445317e-01,  2.45128251e-01,
        3.32755109e-01,  2.97953122e-01,  4.15778457e-01,  1.89528153e-01,
        1.70393552e-01,  1.61226374e-01,  9.19777609e-02,  1.09285314e-01,
        1.20667922e-01,  1.48612266e-01,  7.07762365e-02,  8.48671988e-02,
        9.53375548e-02,  1.14778804e-01,  9.46244423e-02,  5.89078430e-02,
       -1.96227548e-26]]"
2,audio/speech_commands/cat/e9a76b2f_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[0.0818374068992887, 0.08667330366863436, 0.09277222228077393, 0.08311370624258985, 0.08105333108009544, 0.07158217692864642, 0.07947391241657932, 0.07943436392484286, 0.07753504626476702]",0.08149727441180199,"[0.3165674788325007, 0.33011937970723715, 0.3104277999122752, 0.32378252192219026, 0.3026897067330302, 0.33927298203378353, 0.2767491460226653, 0.31996289025218694, 0.2670020085384024]",0.3096193237726968,"[[-1.38718348e-27,  1.97409768e-02,  4.87093917e-01, -6.43589672e-03,
        1.45190010e-02,  5.72252958e-02,  1.06937508e-01,  1.07411968e-01,
       -7.38154598e-03, -1.83683751e-02,  1.59572955e-01, -3.40133078e-02,
       -8.13148706e-02, -3.41000173e-02,  5.84282673e-03,  3.81759632e-02,
        6.66102837e-02,  1.07952547e-01,  9.63140883e-02,  9.13052293e-02,
        4.31188458e-02,  2.49195273e-02,  1.89292482e-02,  4.64600662e-02,
       -1.38718348e-27], [-5.01466955e-27,  2.83991585e-02,  4.97430601e-01,  6.18862731e-03,
        8.43779207e-02,  6.86448933e-02,  1.15661315e-01,  1.18750415e-01,
        1.19802890e-02, -1.25989826e-02,  1.62987550e-01, -3.35956763e-02,
       -7.56632385e-02, -5.49654109e-02,  3.12370445e-02,  3.36562164e-02,
        7.44529445e-02,  1.02314945e-01,  1.38901089e-01,  6.35615136e-02,
        7.23357405e-02,  3.60031266e-02,  1.14105784e-02,  3.74854910e-02,
       -5.01466955e-27], [-6.43950531e-27,  6.01635018e-02,  4.72446706e-01, -3.69931223e-02,
        6.94496759e-02,  3.40662590e-02,  1.69359980e-01,  9.25714554e-02,
        9.91250547e-03, -1.46746615e-03,  1.88398664e-01, -3.59595191e-02,
       -6.01483814e-02, -5.28929170e-02,  2.09486694e-02,  1.63770696e-02,
        5.08484304e-02,  1.10932136e-01,  1.42249539e-01,  9.92276543e-02,
        8.47871458e-02,  4.95066530e-02, -1.50922939e-03,  3.69650882e-02,
       -6.43950531e-27], [-5.33079310e-27,  6.20173450e-02,  5.15978808e-01,  2.35806066e-02,
        1.00577228e-01,  9.74135605e-02,  8.62881950e-02,  1.08373049e-01,
        9.50951922e-04, -8.46369971e-03,  1.42908386e-01, -4.24978604e-02,
       -7.73588948e-02, -5.05766236e-02,  3.13926275e-02,  3.54140527e-02,
        9.89731744e-02,  9.35674117e-02,  1.23626796e-01,  9.37020752e-02,
        8.09560371e-02,  4.44101955e-02,  1.38315701e-02,  5.06212476e-02,
       -5.33079310e-27], [ 0.        ,  0.02710901,  0.4765333 , -0.01825814,  0.07074435,
        0.07591934,  0.09801265,  0.10689527,  0.01292073, -0.02916294,
        0.13179096, -0.03540892, -0.0571603 , -0.03162205,  0.03732602,
        0.0760318 ,  0.08622744,  0.07701283,  0.09982039,  0.11795374,
        0.12779093,  0.00611953, -0.02998654,  0.04721044,  0.        ], [-2.90863350e-27,  4.12962483e-02,  5.03708996e-01,  2.46851372e-02,
        3.21341833e-02,  4.59337527e-02,  9.76017829e-02,  9.08890065e-02,
        1.94243826e-02, -1.74705586e-02,  1.63704789e-01, -2.65618621e-02,
       -7.37177182e-02, -6.77608757e-02,  4.87150729e-03,  1.24040458e-02,
        7.46763263e-02,  1.06082153e-01,  1.33872967e-01,  1.14854945e-01,
        8.94969470e-02,  4.72694436e-02, -3.35035771e-03,  2.44824588e-02,
       -2.90863350e-27], [-7.48356125e-28,  6.68708562e-03,  4.53468945e-01,  2.38051981e-02,
        9.35436542e-02,  8.23713732e-02,  8.51285494e-02,  1.06925719e-01,
        1.34450432e-02,  2.26747584e-03,  1.90606648e-01, -4.00372906e-02,
       -3.44752668e-02, -3.55670089e-02,  3.19131944e-02,  3.29949079e-02,
        6.95409285e-02,  9.16461799e-02,  1.19009506e-01,  1.01842432e-01,
        6.84498215e-02,  6.30726052e-02,  1.69936242e-02,  3.44745945e-02,
       -7.48356125e-28], [-4.91420246e-26,  5.07951094e-02,  5.03934721e-01, -1.44315978e-02,
        8.20799696e-02,  7.67437341e-02,  1.08983879e-01,  8.54667281e-02,
       -3.97695208e-03, -8.69176423e-03,  1.62064551e-01, -3.93334253e-02,
       -8.82595275e-02, -7.96423868e-02,  2.74112889e-02,  7.73936083e-02,
        1.10510610e-01,  1.27380103e-01,  1.85921364e-01,  1.21454418e-01,
        1.10996132e-01,  3.64042089e-02, -7.86332276e-03, -6.13970696e-03,
       -4.91420246e-26], [-1.06649523e-27,  4.20873586e-02,  4.85947605e-01, -4.27509289e-02,
        8.69993106e-02,  9.19767183e-02,  9.64369129e-02,  9.69088927e-02,
        2.54497878e-02,  3.18811050e-02,  1.59939109e-01, -3.76647081e-02,
       -5.87362120e-02, -3.55892668e-02,  2.73940117e-02,  4.20537216e-02,
        3.83645847e-02,  9.15994095e-02,  1.29400799e-01,  1.04251291e-01,
        6.23553759e-02,  2.73851821e-02,  1.95277364e-02,  6.79424537e-02,
       -1.06649523e-27]]"
3,audio/speech_commands/cat/ba676390_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[0.0820586313577107, 0.07878694933215234, 0.07910836994731611, 0.0845738003865755, 0.0820081662827526, 0.07703291247327428, 0.08127317355816255, 0.07456993182973036, 0.07755161022125041]",0.07966261615432498,"[0.6325290830536345, 0.6445076282017844, 0.6470129443320145, 0.6174751835249326, 0.6331014809054487, 0.6596806081927635, 0.6432154273235708, 0.6738262493846205, 0.6590553928398638]",0.6456004441954037,"[[-5.24516910e-26,  5.03396932e-01,  3.49724758e-01,  3.38553182e-01,
        2.54131359e-01,  4.89382248e-01,  4.97821158e-01,  2.26943146e-01,
        1.65502522e-01,  2.66346181e-01,  2.44216129e-01,  1.92545285e-01,
        1.33634839e-01,  1.38244948e-01,  1.40660982e-01,  1.28528646e-01,
        1.49179268e-01,  9.92013555e-02,  8.78881836e-02,  9.40801860e-02,
        6.95061642e-02,  1.83429785e-02, -1.32624409e-02,  3.22745373e-02,
       -5.24516910e-26], [-1.04046244e-26,  4.85152321e-01,  3.64921563e-01,  2.90028343e-01,
        3.15697600e-01,  4.96535374e-01,  4.95942101e-01,  2.42383596e-01,
        1.84615396e-01,  2.70079897e-01,  2.33702275e-01,  1.96738951e-01,
        1.51475277e-01,  1.69383000e-01,  1.64835063e-01,  1.21054626e-01,
        1.29880403e-01,  1.06141797e-01,  9.31430087e-02,  9.99618585e-02,
        1.41184712e-01,  7.53886145e-02,  4.74687080e-02,  5.01203838e-02,
       -1.04046244e-26], [-1.03573648e-26,  4.94102079e-01,  3.45801732e-01,  3.27335382e-01,
        3.04853012e-01,  5.36452750e-01,  5.48792995e-01,  2.40756943e-01,
        2.02906775e-01,  2.37899952e-01,  2.27483036e-01,  1.82258205e-01,
        1.39034912e-01,  1.65084235e-01,  1.30029209e-01,  1.19712242e-01,
        1.23382305e-01,  9.52212509e-02,  5.55489989e-02,  8.54606838e-02,
        1.16591136e-01,  8.04865860e-02,  4.27303751e-02,  2.14581880e-02,
       -1.03573648e-26], [-6.65226567e-27,  4.94709044e-01,  3.45761988e-01,  3.21185483e-01,
        2.53362486e-01,  4.76678909e-01,  5.24450249e-01,  2.38898107e-01,
        2.06323329e-01,  2.63723728e-01,  2.10918603e-01,  1.63709993e-01,
        1.80097126e-01,  1.34685985e-01,  1.43905620e-01,  1.28039945e-01,
        1.21300250e-01,  1.30563051e-01,  7.46376877e-02,  9.01788363e-02,
        1.49332240e-01,  7.12590646e-02,  2.40606247e-02,  4.01499209e-02,
       -6.65226567e-27], [-2.41961595e-26,  4.97398948e-01,  3.20539668e-01,  3.01666291e-01,
        2.92324465e-01,  5.30621305e-01,  5.29740418e-01,  2.65616491e-01,
        1.81895981e-01,  3.06149914e-01,  2.33777724e-01,  2.05318135e-01,
        1.67218616e-01,  1.51360035e-01,  1.50921927e-01,  9.75893340e-02,
        1.40567960e-01,  1.05563712e-01,  8.56851547e-02,  9.24662021e-02,
        7.93945932e-02,  7.47612235e-02,  1.96607559e-02,  2.71017826e-02,
       -2.41961595e-26], [-1.66434314e-26,  5.43118111e-01,  3.34673763e-01,  3.34108298e-01,
        2.91325458e-01,  5.58288473e-01,  5.36247007e-01,  2.47812551e-01,
        1.83154590e-01,  3.06786691e-01,  2.56453681e-01,  2.11627157e-01,
        1.76269476e-01,  1.98353503e-01,  2.18980369e-01,  1.72007672e-01,
        1.28666147e-01,  7.99597356e-02,  8.72692390e-02,  8.86937730e-02,
        8.64577793e-02,  1.06207154e-01,  1.90772860e-02,  3.07375515e-02,
       -1.66434314e-26], [-2.22689860e-27,  5.38233226e-01,  3.48343485e-01,  3.23960004e-01,
        3.10936306e-01,  5.27765606e-01,  5.41449637e-01,  2.55957581e-01,
        2.28472810e-01,  2.99177545e-01,  2.63512274e-01,  1.97717289e-01,
        1.80474277e-01,  1.83903520e-01,  1.44101721e-01,  1.23085843e-01,
        1.27760929e-01,  1.18487736e-01,  8.18477282e-02,  9.08472343e-02,
        1.13191227e-01,  1.18885920e-01,  5.86024019e-02,  6.40516862e-02,
       -2.22689860e-27], [-6.17283267e-26,  6.22807856e-01,  3.73872258e-01,  3.31552288e-01,
        3.12717660e-01,  6.01096997e-01,  5.31913311e-01,  2.54805875e-01,
        2.16257865e-01,  3.01700556e-01,  2.82795290e-01,  2.02750669e-01,
        2.12478150e-01,  2.07036553e-01,  1.22127387e-01,  1.33671180e-01,
        1.35858005e-01,  1.01892420e-01,  7.02607751e-02,  7.50193605e-02,
        1.19266004e-01,  8.39607026e-02,  1.12420430e-02,  3.91493346e-02,
       -6.17283267e-26], [-2.05276925e-26,  6.11503991e-01,  4.26863664e-01,  3.84128040e-01,
        3.01374831e-01,  5.83901006e-01,  5.66080170e-01,  2.49280374e-01,
        2.02924761e-01,  2.89003038e-01,  2.73870058e-01,  2.36704642e-01,
        2.10434252e-01,  1.74460407e-01,  1.50804627e-01,  1.48818091e-01,
        1.69131732e-01,  1.29791820e-01,  8.27022258e-02,  8.00124406e-02,
        1.35371567e-01,  6.33556051e-02,  8.02323168e-02,  2.17871370e-02,
       -2.05276925e-26]]"
4,audio/speech_commands/cat/db7c95b0_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[0.06450027965234141, 0.06242441005380348, 0.06236143510867014, 0.0635146370956291, 0.06361107889101195, 0.06183479120248583, 0.06108609971967293, 0.06046115893279506, 0.06584108037988289]",0.06284833011514364,"[0.6379939673713013, 0.6538481258614932, 0.6547224876547488, 0.6467607095437431, 0.6482117479603873, 0.6552072194583575, 0.6581991672415066, 0.6523050470930591, 0.6338068700813102]",0.6490061491406564,"[[-1.63300620e-26,  6.29351277e-01,  2.53185160e-01,  2.30627625e-01,
        8.74537471e-02,  3.69377885e-02,  1.30902303e-01,  1.30246622e-01,
        4.97351352e-01,  1.89543021e-01,  2.97166992e-01,  2.96551990e-01,
        1.54026946e-01,  1.30320351e-01,  4.72965864e-02, -2.19880715e-03,
       -4.43833103e-03,  5.08747266e-02, -5.80218367e-03, -3.36020479e-02,
        3.49431080e-02, -2.53907247e-02, -1.81744123e-02,  4.90993696e-03,
       -1.63300620e-26], [-1.93327420e-26,  6.60009718e-01,  2.82930353e-01,  2.21148825e-01,
        1.03009085e-01,  5.03706151e-02,  9.49678134e-02,  9.27196016e-02,
        5.51013283e-01,  2.29283602e-01,  2.90855785e-01,  2.55222034e-01,
        1.69082782e-01,  1.42172586e-01,  3.72479651e-02,  3.51863356e-02,
       -8.11491887e-03,  4.05279125e-02, -1.95583626e-02, -4.24725231e-03,
        4.67058676e-02,  7.33677896e-03,  1.58338640e-02, -3.30661019e-02,
       -1.93327420e-26], [-2.00729342e-26,  6.27316956e-01,  2.77979164e-01,  1.89739218e-01,
        1.44983883e-01,  6.15264198e-02,  1.80386703e-01,  1.49910792e-01,
        4.96120760e-01,  2.29345062e-01,  2.98415478e-01,  2.84551340e-01,
        1.54480602e-01,  1.09289194e-01,  2.05677823e-02, -5.40719899e-03,
       -1.65831897e-02,  6.96604070e-02, -1.08416074e-02, -9.87377734e-03,
        1.85017517e-02, -3.85667491e-02,  4.60383677e-03,  1.03260449e-02,
       -2.00729342e-26], [-4.20558446e-26,  6.42340150e-01,  2.89312954e-01,  2.05575909e-01,
        1.40912107e-01,  5.65882930e-02,  8.20973602e-02,  1.53448944e-01,
        5.43237944e-01,  2.02671227e-01,  2.72171289e-01,  2.70184093e-01,
        1.21463477e-01,  1.11312952e-01,  6.37278892e-02, -1.53130948e-02,
       -2.51963639e-02,  3.22422830e-02, -1.84538221e-03, -1.44774437e-02,
        3.77071521e-02, -2.12928197e-02,  7.25795082e-03, -7.54467298e-03,
       -4.20558446e-26], [-3.39152116e-26,  6.56787876e-01,  2.41123337e-01,  2.31852943e-01,
        1.18636688e-01,  4.87324033e-02,  1.00954956e-01,  1.34345569e-01,
        5.00321918e-01,  2.54971260e-01,  2.97299610e-01,  2.69533566e-01,
        1.84366607e-01,  1.31230846e-01, -3.86917483e-03, -1.45856386e-02,
       -9.77715553e-03,  6.18094448e-02,  4.12240125e-02, -1.18762657e-02,
        5.54407331e-02,  1.42624274e-02,  4.89894254e-03, -2.38149612e-02,
       -3.39152116e-26], [ 7.99515505e-28,  6.25234586e-01,  2.85254850e-01,  2.03516701e-01,
        1.15675660e-01,  5.65221706e-02,  8.61803944e-02,  1.04183071e-01,
        5.26657359e-01,  2.35221733e-01,  2.85482141e-01,  2.86586957e-01,
        1.96492167e-01,  1.04235339e-01,  1.90580727e-02,  7.52412090e-03,
       -9.10255351e-03,  9.15694194e-02, -4.59797010e-04, -1.94120805e-02,
        2.65496342e-02, -3.11007182e-02, -3.29826969e-02, -2.26125353e-02,
        7.99515505e-28], [ 3.92917582e-28,  6.42927373e-01,  2.84368046e-01,  2.28728867e-01,
        9.18759949e-02,  3.69771233e-02,  8.90153072e-02,  1.24831573e-01,
        5.33636372e-01,  2.36319012e-01,  2.69051510e-01,  2.99843574e-01,
        1.51755587e-01,  1.01004261e-01,  2.35286653e-02, -6.51177024e-05,
       -1.28855687e-02,  3.95684011e-02,  2.83642943e-02, -1.59628441e-02,
        6.01452147e-02, -2.95010537e-03, -2.28983524e-02, -9.86111020e-03,
        3.92917582e-28], [-7.20051227e-27,  6.76873606e-01,  2.68777155e-01,  2.24621253e-01,
        1.31641385e-01,  1.08571536e-01,  1.52074963e-01,  1.19811259e-01,
        5.28037429e-01,  2.23532860e-01,  2.76909847e-01,  2.37121158e-01,
        1.21906608e-01,  1.17666703e-01,  3.38237754e-02,  1.59447236e-02,
       -3.23156407e-04,  5.41556420e-02, -6.61629552e-03, -2.07811739e-02,
        7.76032665e-02, -1.38525199e-02,  7.24625318e-04, -3.37244586e-03,
       -7.20051227e-27], [-6.35240610e-28,  6.45686711e-01,  2.36939333e-01,  2.18045205e-01,
        1.32089923e-01,  9.60073087e-02,  1.28874656e-01,  1.13046925e-01,
        5.26079673e-01,  2.13775850e-01,  2.79684315e-01,  2.59716442e-01,
        1.65371865e-01,  1.27196867e-01,  2.52070335e-02, -1.95911840e-02,
       -7.72886182e-03,  1.10251275e-02, -7.04389009e-03, -2.76946386e-02,
        4.74142059e-02, -4.20571563e-02, -1.52205141e-02,  5.77907105e-03,
       -6.35240610e-28]]"
