,audio name,normalized,origConf,avgPertConf,mse,mse avg,r2,r2 avg,coefs
0,audio/speech_commands/cat/9f869f70_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.56, 0.5464, 0.5693, 0.558, 0.538, 0.5625, 0.548, 0.537, 0.561]","[0.07122618097295251, 0.08126811321986871, 0.07652712238702389, 0.07367195090678334, 0.07728143186829076, 0.07966140489440979, 0.07817263144589133, 0.0680076949220579, 0.06820199709785219]",0.07489094752390339,"[0.6720642396500204, 0.6275321410632491, 0.6412951392780014, 0.6527610797729054, 0.6390007553667774, 0.620472877223015, 0.6137664768955984, 0.6555541468519188, 0.6249526802777263]",0.6385999484865791,"[[ 1.60303242e-28,  3.08395411e-01,  4.21265546e-01,  2.06303926e-01,
        2.99057789e-01,  3.41723917e-01,  2.57461411e-01,  5.40682417e-01,
        2.31029856e-01,  3.07493618e-01,  4.98065925e-01,  2.60788599e-01,
        1.05205135e-01,  7.76862918e-02,  6.80628168e-02,  6.16269808e-02,
       -1.73950545e-02, -7.41810966e-02, -5.92901274e-02,  4.13339286e-02,
        3.79228111e-02, -1.34985411e-03,  1.78013265e-02,  3.26189637e-02,
        1.60303242e-28], [-6.38507119e-27,  2.77675820e-01,  4.37859606e-01,  1.77857201e-01,
        3.18699987e-01,  4.26138928e-01,  2.79354458e-01,  5.39100676e-01,
        2.62198077e-01,  2.86268444e-01,  5.35428998e-01,  1.99669574e-01,
        2.77700932e-02,  4.30737504e-02, -2.60720997e-03,  1.17972353e-02,
       -4.70012130e-02, -4.00208369e-02, -3.37291558e-02,  2.13565025e-02,
        1.44140728e-02, -1.46303180e-02,  1.81770236e-02,  9.76035703e-03,
       -6.38507119e-27], [-8.04850071e-27,  3.68106592e-01,  3.83537586e-01,  1.87429355e-01,
        3.39210212e-01,  3.73527054e-01,  2.49876450e-01,  5.60074277e-01,
        2.03240669e-01,  2.72819006e-01,  4.93996790e-01,  1.78504463e-01,
        5.31506617e-02,  3.84054411e-02,  3.17952615e-02,  1.92668899e-02,
       -8.68904872e-03, -1.51108973e-02, -2.85525429e-02,  1.80622863e-02,
        1.52921098e-02,  5.71425704e-03,  1.34299988e-02, -1.98498619e-02,
       -8.04850071e-27], [-1.63613685e-28,  3.11099074e-01,  4.28593107e-01,  1.76558346e-01,
        3.33386922e-01,  3.78052820e-01,  3.01281540e-01,  5.80620041e-01,
        2.53531178e-01,  2.71902720e-01,  4.47227987e-01,  2.10804424e-01,
        1.17147763e-01,  3.92165258e-02,  1.02350707e-02,  6.90532691e-02,
        1.04142642e-02, -5.08696014e-02, -5.85244934e-02, -2.42719816e-03,
       -5.48558534e-03, -9.50253931e-03,  1.12535749e-02, -2.82710395e-02,
       -1.63613685e-28], [-1.70991869e-28,  3.32549631e-01,  4.21053522e-01,  1.72418025e-01,
        3.71684765e-01,  3.46049646e-01,  2.27078378e-01,  5.45068919e-01,
        2.59609572e-01,  2.77910261e-01,  4.47404702e-01,  2.05371409e-01,
        8.67132865e-02,  6.17398774e-02,  4.65980298e-02,  8.14228424e-02,
       -2.35297504e-02, -6.52350131e-02, -3.09330979e-02, -1.29493817e-02,
        2.85759351e-02,  1.09572755e-02, -1.23642135e-02, -1.74107324e-02,
       -1.70991869e-28], [-1.16579055e-29,  3.40875084e-01,  4.10317820e-01,  1.90989295e-01,
        4.11493832e-01,  4.23836003e-01,  2.36600609e-01,  5.62027648e-01,
        2.48950802e-01,  2.35542929e-01,  5.30239630e-01,  1.67731395e-01,
        9.51159958e-02,  5.91099044e-02,  6.59398040e-02,  4.30256666e-02,
        7.93136533e-03, -8.40737347e-02, -4.22662523e-02,  6.94300612e-03,
        2.63465956e-02, -3.74990198e-03, -4.00574892e-02,  1.29157721e-02,
       -1.16579055e-29], [-2.05120596e-28,  3.31960651e-01,  3.76152173e-01,  1.74516438e-01,
        3.89052037e-01,  4.23793616e-01,  2.44716774e-01,  5.20300634e-01,
        1.92405699e-01,  2.79097900e-01,  5.08641673e-01,  2.58202432e-01,
        2.56534138e-02,  6.09021822e-02,  2.67140879e-02,  5.80209516e-02,
       -2.53544063e-02, -6.56196975e-02, -5.30043546e-02,  2.62825221e-02,
       -2.99494767e-02, -1.98126153e-02, -4.27612273e-03,  1.81185054e-02,
       -2.05120596e-28], [-2.26546203e-27,  3.73732990e-01,  4.30901044e-01,  1.74274366e-01,
        3.69466488e-01,  3.92828436e-01,  2.52988577e-01,  5.37451390e-01,
        2.71709187e-01,  2.09935540e-01,  5.26274903e-01,  2.32708380e-01,
        1.12247685e-01,  5.12310138e-02,  6.45365966e-02,  1.03948196e-01,
       -6.55034013e-03, -5.06395435e-02, -9.02151737e-03,  4.53296984e-03,
       -2.80402245e-02, -6.26032382e-03, -3.36690211e-02, -1.36389790e-02,
       -2.26546203e-27], [-9.34515219e-28,  2.97889378e-01,  4.16487654e-01,  1.61958954e-01,
        3.53744701e-01,  4.49196950e-01,  2.43375068e-01,  5.23425316e-01,
        2.42532820e-01,  2.70202740e-01,  5.07685814e-01,  2.25817681e-01,
        9.67749389e-02,  5.64683835e-02,  6.29133413e-02,  7.01647019e-02,
        7.06719830e-03, -5.03018307e-02, -4.00957792e-02, -1.17907563e-02,
       -1.20209382e-02,  1.54272566e-02, -1.95948528e-02, -3.38904588e-02,
       -9.34515219e-28]]"
1,audio/speech_commands/cat/f618568f_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4253, 0.4592, 0.4602, 0.4214, 0.4268, 0.4436, 0.4478, 0.4272, 0.4155]","[0.07572659688549552, 0.07866162597043201, 0.0787077171481489, 0.08063138532526945, 0.08195053496392071, 0.07558506354766853, 0.07322953586003117, 0.07421022559236148, 0.07734210817941044]",0.0773383103858598,"[0.67092469465972, 0.6590606854034582, 0.6631899748770647, 0.6484449900022652, 0.6473090300653374, 0.6752467256983026, 0.6857720654502838, 0.6800495565911036, 0.6642123088204424]",0.6660233368408863,"[[-1.90025890e-27,  5.47682260e-01,  4.30248987e-01,  4.44383321e-01,
        4.24947234e-01,  2.34884080e-01,  3.13446166e-01,  2.07813132e-01,
        2.77257476e-01,  2.64729517e-01,  3.65416496e-01,  2.19386813e-01,
        1.42597223e-01,  2.20424924e-01,  5.07381711e-02,  1.30339885e-01,
        1.28424035e-01,  1.07605381e-01,  6.48736851e-02,  4.68909361e-02,
        8.87215055e-02,  9.78270465e-02,  1.24019165e-01,  2.47483637e-02,
       -1.90025890e-27], [-9.90952723e-27,  5.52180404e-01,  3.87756999e-01,  3.66044087e-01,
        4.66224225e-01,  2.15883300e-01,  2.81428641e-01,  1.78833380e-01,
        3.51164557e-01,  2.71291397e-01,  3.94848180e-01,  2.05916035e-01,
        1.02499771e-01,  2.04778521e-01,  1.04195268e-01,  1.27116073e-01,
        1.71032803e-01,  1.37563677e-01,  4.58908575e-02,  1.06816158e-01,
        8.00812652e-02,  1.01877832e-01,  1.43035486e-01,  1.10481490e-01,
       -9.90952723e-27], [-1.63411071e-27,  5.24207880e-01,  4.47676652e-01,  4.75006150e-01,
        4.11701327e-01,  2.51444283e-01,  2.49924244e-01,  2.09434026e-01,
        3.28637380e-01,  2.47018326e-01,  3.75174617e-01,  1.60172991e-01,
        1.89165024e-01,  2.04154259e-01,  8.67689460e-02,  1.38646747e-01,
        2.24617388e-01,  1.28497084e-01,  4.03412203e-02,  7.28854923e-02,
        1.24415422e-01,  1.00880363e-01,  9.34480476e-02,  8.06444533e-02,
       -1.63411071e-27], [-1.65429331e-28,  5.56428645e-01,  3.74650606e-01,  3.95390169e-01,
        4.31653394e-01,  2.75058787e-01,  2.64003262e-01,  1.68297901e-01,
        2.88992213e-01,  2.69857117e-01,  3.83391496e-01,  2.38340005e-01,
        1.52501277e-01,  2.17462527e-01,  1.06112113e-01,  1.41553725e-01,
        1.46458986e-01,  1.29584241e-01,  6.74836120e-02,  6.95993192e-02,
        1.28382658e-01,  1.51962139e-01,  1.12788963e-01,  3.67518789e-02,
       -1.65429331e-28], [5.57066162e-28, 5.69452922e-01, 3.80837008e-01, 4.22691243e-01,
       4.56137411e-01, 2.47059271e-01, 2.54345933e-01, 1.92098652e-01,
       3.13065287e-01, 3.01548345e-01, 3.52272063e-01, 2.68726672e-01,
       1.58373049e-01, 2.41358515e-01, 7.70355908e-02, 1.49707529e-01,
       1.19776232e-01, 8.47914456e-02, 4.70501394e-02, 4.76547312e-02,
       1.20665381e-01, 8.05620111e-02, 6.42439482e-02, 6.69272877e-02,
       5.57066162e-28], [-1.26891975e-27,  6.05555522e-01,  3.92588475e-01,  4.50997167e-01,
        5.13226599e-01,  2.64899570e-01,  2.44160253e-01,  1.95943810e-01,
        2.92540031e-01,  2.87906252e-01,  4.01895779e-01,  2.31365836e-01,
        1.65547397e-01,  1.81096955e-01,  1.46909490e-01,  1.27568277e-01,
        1.61123372e-01,  1.20901685e-01,  4.83707847e-02,  9.28898943e-03,
        8.13932041e-02,  1.02325008e-01,  8.44327464e-02,  4.95101828e-02,
       -1.26891975e-27], [-7.19928584e-28,  5.32527918e-01,  4.41525108e-01,  4.27352182e-01,
        4.70754088e-01,  2.70105590e-01,  2.91725193e-01,  2.43914429e-01,
        2.97090180e-01,  2.69665561e-01,  3.82202492e-01,  2.11564116e-01,
        1.94748984e-01,  2.14019340e-01,  8.72362452e-02,  1.06646597e-01,
        1.55652232e-01,  1.68822883e-01,  5.78438218e-02,  1.26090972e-01,
        1.03728226e-01,  1.62275323e-01,  1.05861950e-01,  9.43713518e-02,
       -7.19928584e-28], [-1.10860074e-27,  5.26456192e-01,  4.26395465e-01,  4.48020721e-01,
        5.13788973e-01,  2.73038777e-01,  2.51609289e-01,  2.10802926e-01,
        2.73871101e-01,  2.96706228e-01,  3.37750410e-01,  2.17309505e-01,
        1.73106445e-01,  1.83598119e-01,  1.08161904e-01,  7.97847958e-02,
        1.34767492e-01,  1.19931356e-01,  7.53834225e-02,  7.49886942e-02,
        1.35690158e-01,  1.14806740e-01,  1.30010668e-01,  5.06820970e-02,
       -1.10860074e-27], [-9.77944084e-29,  6.08658392e-01,  4.21225829e-01,  3.78998731e-01,
        4.61233254e-01,  2.67102134e-01,  2.83317759e-01,  2.47158188e-01,
        3.41450206e-01,  2.28020055e-01,  3.85723395e-01,  2.25843421e-01,
        1.80349622e-01,  1.87234558e-01,  9.74558516e-02,  1.39208083e-01,
        1.37038420e-01,  1.21835967e-01,  1.05510546e-01,  7.02398886e-02,
        1.07289228e-01,  1.43998068e-01,  9.50589492e-02,  6.60212341e-02,
       -9.77944084e-29]]"
2,audio/speech_commands/cat/e9a76b2f_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8433, 0.8384, 0.8193, 0.822, 0.856, 0.82, 0.8228, 0.836, 0.8384]","[0.07804908964191738, 0.07761749163769621, 0.08742325934968237, 0.08739448584462847, 0.0660234278947733, 0.08516327036487933, 0.08252795745103979, 0.07260819325375137, 0.07617414015348524]",0.07922014617687262,"[0.33311742805434996, 0.34970670397412185, 0.3477870741016268, 0.33068373070231927, 0.36026130201805895, 0.32559551861734126, 0.29926180340323005, 0.3016346586662322, 0.27711470250543724]",0.3250181024491909,"[[-2.48726397e-27,  2.98552221e-02,  4.90712465e-01,  3.09156304e-02,
        5.40109547e-02,  1.24777209e-01,  1.21202532e-01,  1.06792795e-01,
        3.14562780e-03,  1.65688894e-04,  1.46081879e-01, -2.89787328e-02,
       -6.65251914e-02, -8.55716973e-02,  7.04966103e-02,  4.51979454e-02,
        4.38491168e-02,  1.19990614e-01,  9.64274052e-02,  8.01721917e-02,
        5.09878459e-02,  9.11269370e-03, -7.70341786e-03,  3.66006028e-03,
       -2.48726397e-27], [-4.95907787e-28,  4.17091936e-02,  4.97790400e-01, -1.14054538e-02,
        9.92201744e-02,  5.59319377e-02,  1.15398184e-01,  1.49668204e-01,
        1.33222424e-02,  1.28174947e-02,  1.49622546e-01, -4.82049542e-02,
       -7.46200986e-02, -5.62055725e-02,  7.54898680e-02,  8.82472594e-02,
        5.61005114e-02,  1.00427203e-01,  1.16410045e-01,  9.90536909e-02,
        7.23559254e-02,  9.78241879e-02,  3.24275513e-02,  3.76866845e-02,
       -4.95907787e-28], [-2.88572263e-27,  3.65735733e-02,  5.32008129e-01, -2.06336953e-02,
        9.62463223e-02,  6.72589800e-02,  1.09566246e-01,  6.80790054e-02,
        2.94596686e-02, -5.77990657e-03,  1.98423213e-01, -6.03559425e-02,
       -7.49069954e-02, -2.00707227e-02,  7.57949800e-02,  4.85772135e-02,
        6.44842232e-02,  4.92550071e-02,  8.98835391e-02,  1.59552074e-01,
        1.10221591e-01,  9.34202078e-03,  5.22416083e-03, -6.47451803e-03,
       -2.88572263e-27], [-1.46298366e-27,  6.33554753e-02,  5.20393994e-01,  2.27993405e-02,
        7.14444008e-02,  8.80934319e-02,  9.35673674e-02,  1.64542282e-01,
       -1.65835628e-02, -3.50842907e-02,  1.59810825e-01, -3.63814292e-02,
       -6.05407233e-02, -5.57800497e-02,  2.14551953e-03,  7.50311168e-02,
        1.09649915e-01,  8.59089588e-02,  1.11278764e-01,  4.96894522e-02,
        1.10375451e-01,  3.45773599e-02,  1.26749193e-02,  3.14788116e-02,
       -1.46298366e-27], [-1.35713138e-27, -5.95204926e-04,  4.85183396e-01,  3.25787395e-02,
       -4.11026555e-03,  4.57402619e-02,  5.65485269e-02,  1.09820362e-01,
        9.11994130e-03, -3.46952729e-02,  1.32435285e-01, -2.35753694e-02,
       -5.61266071e-02, -6.25380713e-02,  3.34470828e-02, -5.77370606e-04,
        4.94314210e-02,  8.12353584e-02,  1.42433967e-01,  1.49035099e-01,
        9.02634828e-02,  5.95072212e-02,  1.09721073e-02,  9.60809483e-02,
       -1.35713138e-27], [-1.02111719e-27,  7.57180436e-02,  4.68666105e-01, -4.49391732e-02,
        3.17416393e-02,  3.22956368e-02,  1.51225798e-01,  1.44423455e-01,
        2.99079428e-02, -3.87735926e-02,  1.67008062e-01, -4.27299721e-02,
       -8.90924711e-02,  1.09596886e-02,  3.87813742e-02,  3.04900235e-02,
        8.51508433e-02,  1.48180537e-01,  1.25732983e-01,  2.09057754e-01,
        4.08195390e-02,  3.80802796e-02,  2.34617107e-02,  3.65582161e-02,
       -1.02111719e-27], [-1.27307660e-27,  2.75177939e-02,  4.32544826e-01,  5.23751277e-02,
        1.37473714e-01,  9.16466399e-02,  1.07699674e-01,  1.29780918e-01,
        2.87833795e-02,  1.41647207e-02,  1.86589291e-01, -6.44927378e-02,
       -5.47396357e-02, -5.03416392e-02,  5.60260809e-02,  1.92174465e-02,
        1.01660532e-01,  8.98947557e-02,  1.55527100e-01,  9.07229106e-02,
        8.40552544e-02, -5.31123876e-03,  2.63948505e-02,  3.87265947e-02,
       -1.27307660e-27], [-1.26600982e-27,  6.53949950e-02,  4.85802820e-01, -1.26577618e-02,
        9.02961007e-02,  9.14109891e-02,  1.53806399e-01,  1.28525223e-01,
       -5.38837065e-04, -7.00607989e-03,  1.07870458e-01, -1.54736765e-02,
       -5.67903826e-02, -7.24215214e-02,  6.28968790e-02,  1.09552615e-02,
        1.13785835e-01,  5.78031659e-02,  8.77655199e-02,  1.21839339e-01,
        1.01446228e-01,  3.71988390e-02,  6.03214158e-02,  1.01397067e-01,
       -1.26600982e-27], [-3.42628221e-28,  2.75627894e-02,  4.27952571e-01,  2.44384998e-02,
        1.09820435e-01,  5.43305203e-02,  7.57039382e-02,  7.11882541e-02,
       -2.21495104e-02, -3.64756277e-02,  1.90384200e-01, -7.92528277e-02,
       -6.29284456e-02, -6.24867296e-02, -3.39495676e-03,  6.95487084e-02,
        1.13606967e-01,  1.37245990e-01,  1.28046136e-01,  9.10800837e-02,
        9.96215388e-02,  1.12649267e-01,  1.43969399e-03,  8.05454866e-02,
       -3.42628221e-28]]"
3,audio/speech_commands/cat/ba676390_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844, 0.9844]","[0.4216, 0.409, 0.401, 0.3835, 0.3923, 0.4138, 0.3816, 0.3716, 0.3953]","[0.08189315933631791, 0.08336172001907, 0.07548756740084302, 0.0771024180276196, 0.07334277618478618, 0.07811997233492896, 0.07885035824559526, 0.07811639485336046, 0.07617715582242256]",0.07805016913610488,"[0.6325946089350142, 0.626769098697454, 0.6612510726526248, 0.6502294081345952, 0.672745546815836, 0.65483175870127, 0.6556633078459986, 0.654190276795114, 0.6629740113473135]",0.6523610099916911,"[[-8.27834659e-27,  5.16989576e-01,  3.88616769e-01,  2.90959000e-01,
        2.54298916e-01,  4.97607663e-01,  5.51586816e-01,  2.36599228e-01,
        2.36655230e-01,  2.59060032e-01,  2.24345455e-01,  1.96807136e-01,
        1.78153747e-01,  1.46211619e-01,  1.31076462e-01,  1.20028841e-01,
        1.38017073e-01,  1.12590869e-01,  9.84692384e-02,  6.69327232e-02,
        1.01146751e-01,  1.03626860e-01,  6.14755037e-02,  1.65490861e-03,
       -8.27834659e-27], [-5.44156234e-28,  4.79093146e-01,  3.52159697e-01,  3.24622685e-01,
        2.66833486e-01,  5.19226169e-01,  5.19385772e-01,  2.85216203e-01,
        1.67356131e-01,  2.77666832e-01,  2.39916490e-01,  1.83346720e-01,
        1.32100493e-01,  1.35543934e-01,  9.87912717e-02,  1.49175978e-01,
        1.98877526e-01,  1.18781446e-01,  6.07779168e-02,  6.32367975e-02,
        1.39508844e-01,  9.47247324e-02,  6.21139888e-02,  6.74795696e-02,
       -5.44156234e-28], [-2.67677330e-28,  5.30112224e-01,  3.61892679e-01,  2.82288428e-01,
        2.87899495e-01,  5.08912510e-01,  4.85115072e-01,  2.08987483e-01,
        1.73711972e-01,  2.75218847e-01,  2.32353219e-01,  2.20595821e-01,
        1.79419591e-01,  1.37410127e-01,  1.56737326e-01,  1.46510935e-01,
        1.30452066e-01,  7.21631604e-02,  9.54468367e-02,  9.13051671e-02,
        9.20243425e-02,  7.74831299e-02, -4.36555551e-02,  1.95483395e-02,
       -2.67677330e-28], [-9.00927668e-27,  4.76028275e-01,  3.23176276e-01,  2.98572370e-01,
        2.33046000e-01,  5.42189343e-01,  5.47516340e-01,  2.46254598e-01,
        2.09774968e-01,  2.59893067e-01,  2.41451290e-01,  1.89723250e-01,
        1.70342481e-01,  1.17140116e-01,  1.35174026e-01,  1.41766251e-01,
        1.27491688e-01,  8.27785592e-02,  7.08891359e-02,  8.42891793e-02,
        1.26467508e-01,  9.98457252e-02,  6.75334642e-02,  3.24430197e-02,
       -9.00927668e-27], [-2.93661298e-26,  5.29016333e-01,  3.68158129e-01,  3.43846343e-01,
        2.38468892e-01,  5.26762174e-01,  5.42579984e-01,  2.40854160e-01,
        1.92071746e-01,  2.63797149e-01,  2.50262693e-01,  1.92676722e-01,
        1.61804499e-01,  1.75044292e-01,  1.08597407e-01,  1.24553505e-01,
        1.50045293e-01,  1.23493402e-01,  4.41480839e-02,  5.15129910e-02,
        1.20129788e-01,  5.69888742e-02,  3.48085268e-02,  1.40254243e-02,
       -2.93661298e-26], [-7.58348523e-28,  6.11047665e-01,  3.99122792e-01,  3.20443358e-01,
        2.78808186e-01,  5.26144373e-01,  5.87127952e-01,  2.93666604e-01,
        1.97361933e-01,  2.66377725e-01,  2.07783562e-01,  1.61635355e-01,
        2.02016977e-01,  1.63527543e-01,  1.69002741e-01,  1.52616066e-01,
        6.49138710e-02,  1.09623743e-01,  6.48605174e-02,  9.69162022e-02,
        6.12447103e-02,  4.69222936e-02,  3.73326800e-02,  2.54504330e-02,
       -7.58348523e-28], [-1.38308706e-26,  5.46235579e-01,  4.09466063e-01,  3.50245097e-01,
        2.89845523e-01,  5.39731066e-01,  5.39015811e-01,  2.12023754e-01,
        2.02832523e-01,  2.70410285e-01,  3.10714878e-01,  2.23402108e-01,
        2.13309724e-01,  1.82917307e-01,  1.17697437e-01,  1.16026714e-01,
        1.20125499e-01,  9.27426867e-02,  4.76541719e-03,  8.35393263e-02,
        1.39965680e-01,  1.97295136e-02,  7.56257033e-02,  2.06980067e-03,
       -1.38308706e-26], [-1.17138312e-26,  5.13798804e-01,  3.72654909e-01,  3.40937984e-01,
        3.51047138e-01,  5.52935073e-01,  5.83938952e-01,  2.63101124e-01,
        2.43695100e-01,  2.77817845e-01,  2.38679578e-01,  2.32994974e-01,
        2.10495229e-01,  1.93395624e-01,  1.22908584e-01,  1.25110841e-01,
        1.45914150e-01,  8.89272539e-02,  3.77026626e-02,  1.25598809e-01,
        1.47077996e-01,  6.56700292e-02,  6.16104125e-02,  1.16877112e-02,
       -1.17138312e-26], [-8.71946958e-29,  5.71542767e-01,  3.28706137e-01,  3.53031326e-01,
        3.26955629e-01,  5.56366045e-01,  5.72753493e-01,  2.49848448e-01,
        2.28434102e-01,  3.50362889e-01,  2.60313638e-01,  2.32199968e-01,
        1.93137146e-01,  1.85870719e-01,  1.52947194e-01,  1.68142938e-01,
        1.13557709e-01,  6.15683812e-02,  8.73892386e-03,  8.05179240e-02,
        1.18160370e-01,  1.32961510e-01,  5.59480282e-02,  5.73795538e-02,
       -8.71946958e-29]]"
4,audio/speech_commands/cat/db7c95b0_nohash_0.wav,"[1000, 3000, 5000, 10000, 15000, 20000, 25000, 30000, 32000]","[0.969, 0.969, 0.969, 0.969, 0.969, 0.969, 0.969, 0.969, 0.969]","[0.5225, 0.529, 0.5347, 0.5435, 0.533, 0.553, 0.5073, 0.518, 0.544]","[0.06376686648690114, 0.06354751103869745, 0.05857855528650313, 0.0620862764409351, 0.057778973580976084, 0.06310207940718156, 0.06793538750613416, 0.06323687194925223, 0.0608502292851663]",0.062320305664638566,"[0.6465955056474275, 0.6531706101966541, 0.6762423541790008, 0.6490816429357696, 0.6720424146259774, 0.6443881608011942, 0.6306551597741638, 0.6571023188553501, 0.6556815939283333]",0.6538844178826524,"[[-1.87954115e-27,  6.20635092e-01,  2.56883435e-01,  1.77103185e-01,
        1.38441593e-01,  6.44013620e-02,  1.51221914e-01,  8.45268725e-02,
        5.25996401e-01,  1.98492684e-01,  2.68607865e-01,  2.85527136e-01,
        1.80981257e-01,  1.53122387e-01,  5.63175013e-02,  1.90111412e-02,
       -2.93108805e-02,  8.84454121e-02,  1.04277990e-02,  1.97828103e-03,
        6.75766226e-02,  2.34019358e-02,  2.79441829e-02,  1.30038830e-02,
       -1.87954115e-27], [-1.02630495e-27,  6.34149467e-01,  2.92798870e-01,  1.89653238e-01,
        1.81638957e-01,  7.24269442e-02,  1.40820188e-01,  1.73553420e-01,
        4.74194888e-01,  2.49553795e-01,  2.73298268e-01,  2.48988902e-01,
        1.42954922e-01,  1.35418082e-01,  2.73202702e-02,  1.86709014e-02,
        3.36860965e-02,  5.48551372e-02,  2.28925176e-02, -2.11787010e-02,
        8.51555805e-02,  6.12690577e-03,  4.88737136e-03, -5.56326505e-04,
       -1.02630495e-27], [-2.47926091e-28,  6.57297565e-01,  2.76345277e-01,  2.51232390e-01,
        1.30179722e-01,  6.62929786e-02,  1.20347758e-01,  1.40910577e-01,
        5.37559220e-01,  2.02573603e-01,  2.71393561e-01,  2.71064984e-01,
        1.24959165e-01,  8.03293627e-02,  3.83394208e-02, -2.04912454e-02,
        4.29996342e-03,  2.62630448e-02, -6.02560176e-03, -1.38207299e-02,
        1.32794434e-02, -2.47707814e-02, -6.28414637e-03, -8.94430825e-03,
       -2.47926091e-28], [-2.78440922e-27,  6.35869949e-01,  2.77096112e-01,  2.00259758e-01,
        1.24724365e-01,  6.02170256e-02,  1.27688953e-01,  1.20268529e-01,
        4.97945195e-01,  2.12725731e-01,  3.01753572e-01,  2.47108726e-01,
        1.57292596e-01,  1.05082677e-01,  2.67957551e-02, -1.94980484e-03,
        2.26604195e-02,  5.46513166e-02,  3.09042455e-02, -2.89467838e-02,
        5.42340634e-02, -3.08711382e-02, -4.41615740e-03, -2.76100683e-02,
       -2.78440922e-27], [-2.09997455e-26,  6.49292326e-01,  2.28461527e-01,  1.65119274e-01,
        8.56700211e-02,  1.16705638e-01,  1.51158326e-01,  9.29172402e-02,
        5.21614981e-01,  2.23154267e-01,  3.27192479e-01,  2.98832294e-01,
        1.53101750e-01,  1.24155695e-01,  6.15877019e-02, -7.35440620e-03,
        4.38440951e-02,  9.03240121e-02,  2.35821214e-02, -1.87758985e-03,
        3.74976089e-02, -2.21664480e-02,  2.39875947e-02, -4.81480570e-03,
       -2.09997455e-26], [ 1.24483193e-28,  6.74490298e-01,  2.20971983e-01,  1.34141306e-01,
        1.46156015e-01,  8.46290160e-02,  1.07972378e-01,  1.19758701e-01,
        5.21871973e-01,  2.11542654e-01,  3.13315032e-01,  2.50161333e-01,
        1.56767798e-01,  1.52048676e-01,  3.28651495e-02, -1.13318286e-02,
       -4.95462137e-02,  2.59775109e-02,  2.01412393e-02, -2.36655557e-02,
        4.71678748e-02, -8.98402717e-03,  3.16468545e-02, -1.06960284e-02,
        1.24483193e-28], [-2.62574848e-27,  5.98794517e-01,  2.85597460e-01,  2.22176116e-01,
        1.30219614e-01,  1.09755847e-01,  1.56164078e-01,  1.38969876e-01,
        5.17162428e-01,  2.75407821e-01,  2.81765739e-01,  2.97890710e-01,
        1.52483262e-01,  1.23905498e-01,  5.29798517e-02, -2.36124684e-02,
       -6.91426088e-03,  4.41429135e-02,  9.61312778e-03, -2.99591885e-02,
        6.54547017e-02, -1.32158646e-02,  6.20449875e-04, -1.80130291e-02,
       -2.62574848e-27], [-1.32254019e-27,  6.45728015e-01,  2.36107141e-01,  1.91828903e-01,
        1.21986781e-01,  9.24182278e-02,  1.05110068e-01,  1.34278105e-01,
        5.27121631e-01,  2.54974700e-01,  3.19443311e-01,  2.83674433e-01,
        1.53853792e-01,  1.32337943e-01,  4.40092374e-02, -1.22297122e-02,
       -2.91226849e-02, -1.81997764e-03, -1.09529425e-02, -1.46290228e-02,
        4.33232495e-02, -1.15432234e-02, -4.71573046e-02, -2.01145895e-02,
       -1.32254019e-27], [-1.53146934e-26,  6.22429739e-01,  2.78349778e-01,  2.43763559e-01,
        1.45035969e-01,  7.99910891e-02,  1.49672863e-01,  1.59255973e-01,
        5.21529088e-01,  2.12543539e-01,  3.26769518e-01,  2.94692941e-01,
        1.50715241e-01,  9.44297767e-02, -1.66136204e-03,  3.45984331e-02,
       -6.51564594e-05,  5.05416217e-02,  2.19942023e-02, -5.91791128e-02,
        2.84713177e-02,  2.31464892e-02,  4.05873409e-02, -2.60988011e-03,
       -1.53146934e-26]]"
